OBJECTID,BDEPT,BIN,AllBridges_2015April_Health_Index,Item_6A,Item_7,Item_8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item_16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item_26,AllBridges_2015April_Item_28A,AllBridges_2015April_Item_29,AllBridges_2015April_Item_49,AllBridges_2015April_Item_52,AllBridges_2015April_Item_58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
29,B16691,68V,1,HWY   NASHUA ST,I  93 RAMP LC-N,NBI,DOT,42,21,57.4415,71,3,51.678,11,1,9830,135.5,7.9,7,True,0,0,0,False,Boston,MAPC
30,W04025,6G1,1,I  95 /ST128,HWY   WINTER ST,NBI,DOT,42,23,50.4312,71,15,40.6763,17,7,39100,83.7,30.7,8,True,0,0,0,False,Waltham,MAPC
31,W11001,6G2,1,WATER SUDBURY RIVER,US 20 BOSTN PST RD,NBI,DOT,42,21,47.79,71,22,28.689,14,2,15800,34.2,12,7,True,0,0,0,False,Wayland,MAPC
32,B16620,6JL,0.9967,I  93 RAMP LC-S TUNNEL,I  93 RAMP N-S,NBI,DOT,42,21,58.9823,71,3,54.7307,11,3,54300,29.6,12.2,7,True,0,0,0,False,Boston,MAPC
33,B16607,6JN,1,RR    MBTA,I  93 RAMP S-N,NBI,DOT,42,22,2.2512,71,3,46.4832,11,2,61800,203,11,7,True,0,0,0,False,Boston,MAPC
34,B16607,6JT,0.9872,HWY   NASHUA ST,I  93 NB RAMP S-N,NBI,DOT,42,21,58.6404,71,3,49.3631,11,3,28249,81.2,13.5,7,True,0,0,0,False,Boston,MAPC
35,B16691,6K2,0.9999,I  93 RAMP S-N BOAT,I  93 RAMP LC-N,NBI,DOT,42,21,58.6116,71,3,57.7836,11,1,8756,120.7,9.1,7,True,0,0,0,False,Boston,MAPC
36,M06009,1L4,0.6214,I 495,US 20 EB/BSTN PST,NBI,DOT,42,20,27.996,71,34,31.008,14,2,36400,86.9,15,5,True,0,0,0,False,Marlborough,MAPC
37,M06009,1L5,0.6455,I 495,US 20 WB/BSTN PST,NBI,DOT,42,20,28.4208,71,34,30.99,14,2,36400,86.9,15,5,True,0,0,0,False,Marlborough,MAPC
38,M06014,1TU,0.9741,WATER ASSABET RIVER,I 290,NBI,DOT,42,21,8.9927,71,36,50.2703,11,6,72627,9.1,0,N,True,0,0,0,False,Marlborough,MAPC
39,M06015,1TV,0.7862,HWY   BIGELOW ST,I 290 EB,NBI,DOT,42,21,39.6216,71,35,48.5267,11,3,37329,23.5,17.1,6,True,0,0,0,False,Marlborough,MAPC
40,M06015,1TW,0.7845,HWY   BIGELOW ST,I 290 WB,NBI,DOT,42,21,40.8342,71,35,49.383,11,3,35967,23.5,17.1,7,True,0,0,0,False,Marlborough,MAPC
41,M06016,1TX,0.9758,I 495,I 290 EB,NBI,DOT,42,21,45.8495,71,35,24.1331,12,2,40000,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
42,M06016,1TY,0.9936,I 495,I 290 WB,NBI,DOT,42,21,47.0771,71,35,25.4148,12,2,72000,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
43,S20017,1U7,0.989,ST 30 MAIN ST,I 495 NB,NBI,DOT,42,18,25.833,71,33,55.3104,11,3,50000,36,17.1,7,True,0,0,0,False,Southborough,MAPC
44,S20017,1U8,0.9884,ST 30 MAIN ST,I 495 SB,NBI,DOT,42,18,25.6248,71,33,57.2646,11,3,50000,34.7,17.1,7,True,0,0,0,False,Southborough,MAPC
45,S20018,1U9,0.9986,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,DOT,42,18,48.6324,71,34,3.8495,11,3,34758,97.5,17.1,5,True,0,0,0,False,Southborough,MAPC
46,S20018,1UA,0.9937,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,DOT,42,18,48.2327,71,34,5.7036,11,3,37000,102.1,17.1,5,True,0,0,0,False,Southborough,MAPC
47,S20019,1UB,0.9574,HWY   NORTHBORO RD,I 495 NB,NBI,DOT,42,18,54.216,71,34,6.2214,11,3,50000,35.4,17.1,6,True,0,0,0,False,Southborough,MAPC
48,S20019,1UC,0.9571,HWY   NORTHBORO RD,I 495 SB,NBI,DOT,42,18,53.8086,71,34,8.0214,11,3,50000,33.5,16.2,6,True,0,0,0,False,Southborough,MAPC
49,M21022,1UD,0.765,ST109 MEDWAY RD,I 495 NB,NBI,DOT,42,8,51.0504,71,29,3.2604,11,3,32000,43,17.1,6,True,0,0,0,False,Milford,MAPC
50,M21022,1UE,0.9222,ST109 MEDWAY RD,I 495 SB,NBI,DOT,42,8,51.1542,71,29,5.0274,11,3,40200,43,17.1,6,True,0,0,0,False,Milford,MAPC
51,M21017,1UF,0.7994,OTHER BIKE TRAIL,I 495 SB,NBI,DOT,42,9,9.8856,71,29,12.8291,11,3,38700,23.8,17.1,7,True,0,0,0,False,Milford,MAPC
52,M21017,1UG,0.7993,OTHER BIKE TRAIL,I 495 NB,NBI,DOT,42,9,10.854,71,29,10.7838,11,3,38700,23.8,17.1,6,True,0,0,0,False,Milford,MAPC
53,M21021,1UH,0.7005,ST 16 E MAIN ST,I 495 SB,NBI,DOT,42,9,16.6139,71,29,17.4155,11,3,35000,29.3,17.4,6,True,0,0,0,False,Milford,MAPC
54,M21021,1UJ,0.5981,ST 16 E MAIN ST,I 495 NB,NBI,DOT,42,9,18.2478,71,29,15.543,11,3,56000,29.3,17.4,7,True,0,0,0,False,Milford,MAPC
55,M21020,1UK,0.786,ST 85 CEDAR ST,I 495 NB,NBI,DOT,42,10,0.01482,71,30,31.5828,11,3,65000,33.5,17.4,6,True,0,0,0,False,Milford,MAPC
56,M21020,1UL,0.7547,ST 85 CEDAR ST,I 495 SB,NBI,DOT,42,9,58.3308,71,30,31.4778,11,3,65000,32.9,17.4,5,True,0,0,0,False,Milford,MAPC
57,M21018,1UM,0.7837,HWY   HAVEN ST,I 495 NB,NBI,DOT,42,10,53.49,71,31,40.0043,11,3,40000,26.2,17.1,5,True,0,0,0,False,Milford,MAPC
58,M21018,1UN,0.7738,HWY   HAVEN ST,I 495 SB,NBI,DOT,42,10,49.8462,71,31,43.0572,11,3,40000,27.1,17.1,5,True,0,0,0,False,Milford,MAPC
59,H23008,1UP,0.6214,I  90,I 495 SB,NBI,DOT,42,15,59.9868,71,33,52.3979,11,3,46000,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
60,H23011,1UQ,0.7858,HWY   W MAIN ST,I 495 NB,NBI,DOT,42,12,51.9372,71,32,44.7684,11,4,49454,42.7,18.1,5,True,0,0,0,False,Hopkinton,MAPC
61,H23011,1UR,0.7354,HWY   W MAIN ST,I 495 SB,NBI,DOT,42,12,50.097,71,32,47.4324,11,4,98909,40.5,18.1,5,True,0,0,0,False,Hopkinton,MAPC
62,H23010,1UT,0.9943,ST135 WOOD ST,I 495 NB,NBI,DOT,42,13,47.2367,71,32,59.9855,11,3,50000,18.6,16.9,7,True,0,0,0,False,Hopkinton,MAPC
63,H23010,1UU,0.972,ST135 WOOD ST,I 495 SB,NBI,DOT,42,13,48.0252,71,33,4.0139,11,3,50000,18.6,16.9,6,True,0,0,0,False,Hopkinton,MAPC
64,H23008,1UV,0.5774,I  90,I 495 NB,NBI,DOT,42,16,0.858,71,33,50.7852,11,3,80000,65.5,17.7,6,True,0,0,0,False,Hopkinton,MAPC
65,L13025,1UW,0.6701,WATER MILL POND,I 495,NBI,DOT,42,32,4.686,71,29,49.6463,11,6,117000,10.7,0,N,True,0,0,0,False,Littleton,MAPC
66,B15004,1V2,0.937,HWY   S BOLTON RD,I 495 NB,NBI,DOT,42,24,56.7863,71,36,18.4751,1,3,47000,36.6,17.4,5,True,0,0,0,False,Bolton,MAPC
67,B15004,1V3,0.8921,HWY   S BOLTON RD,I 495 SB,NBI,DOT,42,24,58.9896,71,36,20.649,1,3,51800,45.1,17.4,5,True,0,0,0,False,Bolton,MAPC
68,B15002,1V4,0.8864,ST117 MAIN ST,I 495 NB,NBI,DOT,42,25,50.8074,71,35,32.9748,11,4,46180,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
69,B15002,1V5,0.8976,ST117 MAIN ST,I 495 SB,NBI,DOT,42,25,51.1896,71,35,35.2068,1,4,42782,36.6,17.7,6,True,0,0,0,False,Bolton,MAPC
70,F08021,1V8,0.9926,RR    CSX,I 495 SB,NBI,DOT,42,4,20.8344,71,24,44.9315,11,3,37258,34.1,16.7,6,True,0,0,0,False,Franklin,MAPC
71,F08021,1V9,0.9644,RR    CSX,I 495 NB,NBI,DOT,42,4,21.7086,71,24,43.6746,12,3,39745,34.1,16.7,5,True,0,0,0,True,Franklin,MAPC
72,F08023,1VA,0.9954,HWY   KING ST,I 495 NB,NBI,DOT,42,3,54.201,71,24,3.2574,11,4,40000,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
73,F08023,1VB,0.9955,HWY   KING ST,I 495 SB,NBI,DOT,42,3,52.743,71,24,4.6224,11,3,45000,27.1,16.7,7,True,0,0,0,False,Franklin,MAPC
74,F08024,1VC,0.7277,HWY   SUMMER ST,I 495 NB,NBI,DOT,42,3,30.2544,71,23,1.8492,11,4,38000,28.3,16.6,7,True,0,0,0,False,Franklin,MAPC
75,F08024,1VD,0.8891,HWY   SUMMER ST,I 495 SB,NBI,DOT,42,3,27.4031,71,23,1.4315,11,4,36450,29,16.6,7,True,0,0,0,False,Franklin,MAPC
76,F08027,1VE,0.7807,RR    MBTA/CSX,I 495 NB,NBI,DOT,42,5,14.7732,71,25,29.226,11,4,36500,12.8,16.8,5,True,0,0,0,False,Franklin,MAPC
77,F08027,1VF,0.8032,RR    MBTA/CSX,I 495 SB,NBI,DOT,42,5,14.9136,71,25,31.35,11,4,36500,12.8,16.8,5,True,0,0,0,False,Franklin,MAPC
78,F08029,1VG,0.7762,HWY   BEAVER ST,I 495 NB,NBI,DOT,42,4,52.2624,71,25,16.9248,11,3,39745,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
79,F08029,1VH,0.7642,HWY   BEAVER ST,I 495 SB,NBI,DOT,42,4,51.1278,71,25,18.4506,11,4,38604,23.8,16.7,7,True,0,0,0,False,Franklin,MAPC
80,H23012,20Q,0.9991,I 495,I  90 RAMP ON&OFF,NBI,DOT,42,15,46.1586,71,33,47.5488,11,3,35000,75.64,18.288,8,True,0,0,0,False,Hopkinton,MAPC
81,W11007,24Y,0.6712,WATER SUDBURY RIVER,ST 27 OLD SUDBURY,NBI,MUN,42,22,26.9796,71,22,53.544,14,2,30000,33.2,12.4,5,True,0,0,0,False,Wayland,MAPC
82,A02013,26K,0.8933,WATER NASHOBA BROOK,ST119 /ST2 A,NBI,DOT,42,29,56.5367,71,25,5.9087,14,2,20000,8.8,13.4,5,True,0,0,0,False,Acton,MAPC
83,L13011,26N,0.9855,RR    MBTA/BMRR,ST  2 A/ST110/AYER,NBI,DOT,42,33,4.2222,71,31,42.402,14,2,13800,28,17.4,7,True,0,0,0,False,Littleton,MAPC
84,S31004,26Q,0.9411,WATER HOP BROOK,US 20 BSTN POST RD,NBI,DOT,42,21,42.4584,71,25,4.1046,14,2,32000,7.3,11.6,6,True,0,0,0,False,Sudbury,MAPC
85,L13030,26V,0.8744,I 495,ST119 GREAT RD,NBI,DOT,42,32,57.6708,71,28,41.6136,14,2,112706,95.1,16.8,4,True,0,0,0,False,Littleton,MAPC
86,L13008,26W,0.9473,WATER BEAVER BROOK,ST119 GREAT RD,NBI,DOT,42,33,13.0104,71,28,59.3399,14,2,23800,7.9,8.5,6,True,17,23,36,False,Littleton,MAPC
