OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
1911,H23010,1UT,0.9943,ST135 WOOD ST,I 495 NB,H230101UTDOTNBI,NBI,DOT,42,13,47.2367,71,32,59.9855,11,3,50000,18.6,15.2,16.9,7,TRUE,0,0,0,FALSE,Hopkinton
1912,H23010,1UU,0.972,ST135 WOOD ST,I 495 SB,H230101UUDOTNBI,NBI,DOT,42,13,48.0252,71,33,4.0139,11,3,50000,18.6,15.2,16.9,5,TRUE,0,0,0,FALSE,Hopkinton
1913,H23008,1UV,0.5774,I  90,I 495 NB,H230081UVDOTNBI,NBI,DOT,42,16,0.858,71,33,50.7852,11,3,80000,65.5,15.8,17.7,6,TRUE,0,0,0,FALSE,Hopkinton
1914,L13025,1UW,0.6701,WATER MILL POND,I 495,L130251UWDOTNBI,NBI,DOT,42,32,4.686,71,29,49.6463,11,6,117000,10.7,0,0,N,TRUE,0,0,0,FALSE,Littleton
1919,B15004,1V2,0.937,HWY   S BOLTON RD,I 495 NB,B150041V2DOTNBI,NBI,DOT,42,24,56.7863,71,36,18.4751,1,3,47000,36.6,15.2,17.4,5,TRUE,0,0,0,FALSE,Bolton
1920,B15004,1V3,0.8921,HWY   S BOLTON RD,I 495 SB,B150041V3DOTNBI,NBI,DOT,42,24,58.9896,71,36,20.649,1,3,51800,45.1,15.2,17.4,5,TRUE,0,0,0,FALSE,Bolton
1921,B15002,1V4,0.8864,ST117 MAIN ST,I 495 NB,B150021V4DOTNBI,NBI,DOT,42,25,50.8074,71,35,32.9748,11,4,46180,36.6,15.8,17.7,6,TRUE,0,0,0,FALSE,Bolton
1922,B15002,1V5,0.8976,ST117 MAIN ST,I 495 SB,B150021V5DOTNBI,NBI,DOT,42,25,51.1896,71,35,35.2068,1,4,42782,36.6,15.8,17.7,6,TRUE,0,0,0,FALSE,Bolton
1925,F08021,1V8,0.9926,RR    CSX,I 495 SB,F080211V8DOTNBI,NBI,DOT,42,4,20.8344,71,24,44.9315,11,3,37258,34.1,15,16.7,6,TRUE,0,0,0,FALSE,Franklin
1926,F08021,1V9,0.9644,RR    CSX,I 495 NB,F080211V9DOTNBI,NBI,DOT,42,4,21.7086,71,24,43.6746,12,3,40609,34.1,15,16.7,5,TRUE,0,0,0,TRUE,Franklin
1927,F08023,1VA,0.9954,HWY   KING ST,I 495 NB,F080231VADOTNBI,NBI,DOT,42,3,54.201,71,24,3.2574,11,4,40000,27.1,15,16.7,7,TRUE,0,0,0,FALSE,Franklin
1928,F08023,1VB,0.9955,HWY   KING ST,I 495 SB,F080231VBDOTNBI,NBI,DOT,42,3,52.743,71,24,4.6224,11,3,37258,27.1,15,16.7,7,TRUE,0,0,0,FALSE,Franklin
1929,F08024,1VC,0.7277,HWY   SUMMER ST,I 495 NB,F080241VCDOTNBI,NBI,DOT,42,3,30.2544,71,23,1.8492,11,4,38000,28.3,15,16.6,6,TRUE,0,0,0,FALSE,Franklin
1930,F08024,1VD,0.8891,HWY   SUMMER ST,I 495 SB,F080241VDDOTNBI,NBI,DOT,42,3,27.4031,71,23,1.4315,11,4,41784,29,15,16.6,6,TRUE,0,0,0,FALSE,Franklin
1931,F08027,1VE,0.7807,RR    MBTA/CSX,I 495 NB,F080271VEDOTNBI,NBI,DOT,42,5,14.7732,71,25,29.226,11,4,36500,12.8,15.8,16.8,5,TRUE,0,0,0,FALSE,Franklin
1932,F08027,1VF,0.8032,RR    MBTA/CSX,I 495 SB,F080271VFDOTNBI,NBI,DOT,42,5,14.9136,71,25,31.35,11,4,36500,12.8,15.8,16.8,5,TRUE,0,0,0,FALSE,Franklin
1933,F08029,1VG,0.7731,HWY   BEAVER ST,I 495 NB,F080291VGDOTNBI,NBI,DOT,42,4,52.2624,71,25,16.9248,11,3,39745,23.8,15.2,16.7,7,TRUE,0,0,0,FALSE,Franklin
1934,F08029,1VH,0.7628,HWY   BEAVER ST,I 495 SB,F080291VHDOTNBI,NBI,DOT,42,4,51.1278,71,25,18.4506,11,4,38604,23.8,15.2,16.7,7,TRUE,0,0,0,FALSE,Franklin
