OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
2520,B29011,2EW,0.6703,HWY   WINN ST,I  95 NB/ST128 NB,B290112EWDOTNBI,NBI,DOT,42,29,44.76,71,10,41.08,16,4,159900,18.3,17.7,24.7,N,TRUE,0,0,0,FALSE,Burlington
2521,B29011,2EX,0.6636,HWY   WINN ST,I  95 SB/ST128 SB,B290112EXDOTNBI,NBI,DOT,42,29,45.36,71,10,41.56,16,4,159900,18.3,17.7,24.7,N,TRUE,0,0,0,FALSE,Burlington
2522,L10011,2EY,0.5668,HWY   LINCOLN ST,I  95 /ST128,L100112EYDOTNBI,NBI,DOT,42,26,8.502,71,15,34.9308,11,8,154500,41.8,37.2,43,5,TRUE,0,0,0,FALSE,Lexington
2523,R03008,2F0,0.7425,ST 28 MAIN ST,I  95 /ST128,R030082F0DOTNBI,NBI,DOT,42,30,12.92,71,6,9.23,12,8,154000,28,36.6,46.4,5,TRUE,0,0,0,FALSE,Reading
2524,W04029,2F1,0.695,WATER STONY BROOK,I  95 /ST128,W040292F1DOTNBI,NBI,DOT,42,21,46.7676,71,16,13.7603,11,8,172230,8.8,36.6,43.3,N,TRUE,0,0,0,FALSE,Waltham
2525,W04026,2F2,0.9512,RR    MBTA/BMRR,I  95 /ST128,W040262F2DOTNBI,NBI,DOT,42,22,2.25,71,16,11.1,12,9,172000,69.2,37.2,45.5,4,TRUE,0,0,0,TRUE,Waltham
2526,W29024,2F3,0.912,OTHER MDC AQUEDUCT,I  95 /ST128,W290242F3DOTNBI,NBI,DOT,42,20,31.0632,71,15,47.1852,11,8,165071,12.5,37.2,47.5,7,TRUE,0,0,0,FALSE,Weston
2527,W29018,2F4,0.6477,HWY   NORUMBEGA RD,I  95 /ST128,W290182F4DOTNBI,NBI,DOT,42,20,46.4316,71,15,44.4419,12,9,165071,16.2,36.6,38.1,6,TRUE,0,0,0,FALSE,Weston
2529,W43031,2F6,0.6838,ST 38 WB/MAIN ST,I  95 NB/ST128 NB,W430312F6DOTNBI,NBI,DOT,42,29,57.9659,71,9,22.356,11,4,164000,21.6,18.3,20.9,N,TRUE,0,0,0,FALSE,Woburn
2530,W43031,2F7,0.9997,ST 38 WB/MAIN ST,I  95 SB/ST128 SB,W430312F7DOTNBI,NBI,DOT,42,29,58.74,71,9,22.5683,11,4,160000,21.6,18.3,20.9,N,TRUE,0,0,0,FALSE,Woburn
2531,W43022,2F8,0.7087,ST 38 EB/MAIN ST,I  95 NB/ST128 NB,W430222F8DOTNBI,NBI,DOT,42,29,57.0659,71,9,29.1636,11,4,80100,37.5,18.3,26.8,5,TRUE,0,0,0,FALSE,Woburn
2532,W43022,2F9,0.7199,ST 38 EB/MAIN ST,I  95 SB/ST128 SB,W430222F9DOTNBI,NBI,DOT,42,29,57.8867,71,9,29.1347,11,4,80100,37.5,18.3,20.7,5,TRUE,0,0,0,FALSE,Woburn
2533,W43024,2FA,0.8172,HWY   FOREST PARK RD,I  95 NB/ST128 NB,W430242FADOTNBI,NBI,DOT,42,30,1.5515,71,8,54.7512,11,4,177500,41.1,19,20.9,6,TRUE,0,0,0,FALSE,Woburn
2534,W43024,2FB,0.6857,HWY   FOREST PARK RD,I  95 SB/ST128 SB,W430242FBDOTNBI,NBI,DOT,42,30,2.3651,71,8,55.0968,11,4,177500,41.1,19,20.9,6,TRUE,0,0,0,FALSE,Woburn
2535,W43026,2FC,0.514,RR    MBTA/BMRR,I  95 /ST128,W430262FCDOTNBI,NBI,DOT,42,30,7.6103,71,8,11.5007,11,8,160200,37.8,42.7,44.9,5,TRUE,0,0,0,FALSE,Woburn
2536,L19011,2FD,0.9803,HWY   MAIN ST,I  95 /ST128,L190112FDDOTNBI,NBI,DOT,42,31,33.6036,71,3,58.0896,11,8,126000,15.2,40.2,54.4,N,TRUE,0,0,0,FALSE,Lynnfield
2537,W01013,2FE,0.8169,RR    BMRR/MBTA,I  95 /ST128,W010132FEDOTNBI,NBI,DOT,42,31,21.9324,71,3,30.6504,11,6,134400,7.3,42.7,47.7,N,TRUE,0,0,0,FALSE,Wakefield
2538,W01020,2FF,0.7349,HWY   PARKER RD,I  95 /ST128,W010202FFDOTNBI,NBI,DOT,42,30,38.1059,71,5,33.4139,11,6,133500,18,42.1,45.1,5,TRUE,0,0,0,FALSE,Wakefield
2539,W01019,2FG,0.9697,RR    MBTA/BMRR,I  95 /ST128,W010192FGDOTNBI,NBI,DOT,42,30,52.0271,71,5,25.9224,16,7,138400,19.8,42.7,46.1,5,TRUE,0,0,0,FALSE,Wakefield
2540,W01018,2FH,0.901,HWY   NORTH AVE,I  95 /ST128,W010182FHDOTNBI,NBI,DOT,42,31,0.2855,71,5,22.4448,11,6,134371,22.3,29.3,45.1,6,TRUE,0,0,0,FALSE,Wakefield
2541,W01008,2FJ,0.971,HWY   PLEASURE ISLAND RD,I  95 /ST128,W010082FJDOTNBI,NBI,DOT,42,30,47.16,71,2,28.8708,11,6,135000,15.8,29.3,34.1,N,TRUE,0,0,0,FALSE,Wakefield
2542,W01016,2FK,0.7765,ST129 EB LOWELL ST,I  95 /ST128,W010162FKDOTNBI,NBI,DOT,42,31,32.1671,71,4,46.1387,11,8,131600,22.6,44.5,46.9,5,TRUE,0,0,0,FALSE,Wakefield
2543,W01015,2FL,0.7587,ST129 WB  MAIN ST,I  95 /ST128,W010152FLDOTNBI,NBI,DOT,42,31,32.1671,71,4,46.1387,11,6,131600,20.4,44.5,46.9,6,TRUE,0,0,0,FALSE,Wakefield
2544,N12059,2FM,0.845,HWY   QUINOBEQUIN RD,I  95 ST128,N120592FMDOTNBI,NBI,DOT,42,19,32.5668,71,15,0.18,11,10,160000,29,36.6,44.6,5,TRUE,0,0,0,FALSE,Newton
2545,N12054,2FN,0.7957,WATER CHARLES RIVER,I  95 /ST128,N120542FNDOTNBI,NBI,DOT,42,19,25.1723,71,14,57.282,11,8,175100,55.8,42.7,45.4,6,TRUE,0,0,0,FALSE,Newton
2546,N12063,2FP,0.8864,WATER CHARLES RIVER,I  95 /ST128,N120632FPDOTNBI,NBI,DOT,42,20,12.5987,71,15,31.0788,11,8,160000,42.7,36.6,44.5,6,TRUE,0,0,0,FALSE,Newton
2547,W13023,2FQ,0.9414,ST  9 WORCESTER ST,I  95 NB/ST128 NB,W130232FQDOTNBI,NBI,DOT,42,19,0.1848,71,14,1.6259,11,5,77272,43.9,20.1,22.4,4,TRUE,0,0,0,TRUE,Wellesley
2551,B04011,2FV,0.777,ST 62 BURLINGTON RD,US  3 SB,B040112FVDOTREM,REM,DOT,42,30,7.0596,71,14,37.2012,12,2,59900,16.8,11,13.4,N,TRUE,0,0,0,FALSE,Bedford
2552,B04011,2FW,0.7464,ST 62 BURLINGTON RD,US  3 NB,B040112FWDOTREM,REM,DOT,42,30,7.0596,71,14,37.2012,12,2,59900,16.8,11,13.4,N,TRUE,0,0,0,FALSE,Bedford
2553,B04012,2FX,0.9423,WATER SHAWSHEEN RIVER,US  3 SB,B040122FXDOTREM,REM,DOT,42,30,32.562,71,15,2.9556,12,2,59900,20.4,11,13.3,7,TRUE,0,0,0,FALSE,Bedford
2554,B04012,2FY,0.9424,WATER SHAWSHEEN RIVER,US  3 NB,B040122FYDOTREM,REM,DOT,42,30,32.5728,71,15,2.97,12,2,59000,20.4,11,13.3,6,TRUE,0,0,0,FALSE,Bedford
2557,B29006,2G2,0.6763,I  95 /ST128 & CD,US  3 SB,B290062G2DOTNBI,NBI,DOT,42,28,35.2884,71,13,12.7091,12,2,42500,86.6,11.6,13.9,6,TRUE,0,0,0,FALSE,Burlington
2558,B29006,2G3,0.7348,I  95 /ST128 & CD,US  3 NB,B290062G3DOTNBI,NBI,DOT,42,28,35.6448,71,13,11.1071,12,1,42500,86.6,11.6,13.9,6,TRUE,0,0,0,FALSE,Burlington
2580,C19018,2GR,0.7201,WATER NASHOBA BROOK,ST  2,C190182GRDOTNBI,NBI,DOT,42,28,8.6159,71,24,23.7492,14,4,38300,8.5,29,30.5,7,TRUE,20,23,40,FALSE,Concord
2581,Q01049,2GT,0.7741,RR    CSX SPUR TO LEDGER,ST  3 RPS CC&C&X&Y,Q010492GTDOTNBI,NBI,DOT,42,13,52.4639,71,0,41.0759,14,8,21000,22.6,47.5,59.4,7,TRUE,0,0,0,FALSE,Quincy
2582,Q01051,2GU,0.922,OTHER RELIEF,ST  3 RAMP Y @ T,Q010512GUDOTNBI,NBI,DOT,42,13,56,71,0,37,14,2,8700,150.3,8.5,9.5,7,TRUE,0,0,0,FALSE,Quincy
2583,Q01051,2GV,0.6762,HWY   RAMPS C & CC,ST  3 RAMP X @ T,Q010512GVDOTNBI,NBI,DOT,42,13,56,71,0,37,14,1,4400,194.5,6.7,7.7,5,TRUE,0,0,0,FALSE,Quincy
2604,M12035,2HH,0.9998,ST 28 FELLSWAY WST,I  93 NB,M120352HHDOTNBI,NBI,DOT,42,26,52.7819,71,6,16.7903,11,5,92879,27.1,23.5,25.1,6,TRUE,0,0,0,FALSE,Medford
2605,M12035,2HJ,0.7446,ST 28 FELLSWAY WST,I  93 SB,M120352HJDOTNBI,NBI,DOT,42,26,53.6459,71,6,17.6976,11,5,86771,27.1,23.5,25,6,TRUE,0,0,0,FALSE,Medford
2606,R03011,2HK,0.5661,I  95 /ST128,I  93,R030112HKDOTNBI,NBI,DOT,42,30,8,71,7,8,11,8,169800,75.6,41.5,52.5,5,TRUE,0,0,0,FALSE,Reading
2607,R03010,2HL,0.728,HWY   WEST ST,I  93,R030102HLDOTNBI,NBI,DOT,42,30,32.4108,71,7,24.8052,11,8,157000,48.2,42.7,47.2,7,TRUE,0,0,0,FALSE,Reading
2608,S27004,2HM,0.6194,RR    BMRR SPUR (ABAND),I  93,S270042HMDOTNBI,NBI,DOT,42,28,36.6,71,6,45.6,11,8,171000,9.4,45.7,49.7,6,TRUE,0,0,0,FALSE,Stoneham
2609,S27007,2HN,0.8946,HWY   BORDER RD ACCESS,I  93,S270072HNDOTNBI,NBI,DOT,42,28,9.6599,71,6,26.5284,11,8,183780,39,48.8,50.6,5,TRUE,0,0,0,FALSE,Stoneham
2612,W38028,2HR,0.4584,RR    MBTA/BMRR,I  93 NB,W380282HRDOTNBI,NBI,DOT,42,32,28.2659,71,8,5.3592,11,5,67100,29,20.1,22.6,5,TRUE,0,0,0,FALSE,Wilmington
2613,W38028,2HT,0.4676,RR    MBTA/BMRR,I  93 SB,W380282HTDOTNBI,NBI,DOT,42,32,29.9399,71,8,6.8459,11,4,67100,28,20.1,22.6,5,TRUE,0,0,0,FALSE,Wilmington
2614,W38026,2HU,0.6458,WATER IPSWICH RIVER,I  93 NB,W380262HUDOTNBI,NBI,DOT,42,33,9.7812,71,8,15.4032,11,4,67073,12.5,18.9,24.4,5,TRUE,0,0,0,FALSE,Wilmington
2615,W38026,2HV,0.6713,WATER IPSWICH RIVER,I  93 SB,W380262HVDOTNBI,NBI,DOT,42,33,9.9216,71,8,16.5624,11,4,67073,12.5,18.9,24.4,6,TRUE,0,0,0,FALSE,Wilmington
2616,W38031,2HW,0.8843,HWY   CONCORD ST,I  93,W380312HWDOTNBI,NBI,DOT,42,33,30.15,71,8,26.6,11,8,151000,44.8,50,52.5,6,TRUE,0,0,0,FALSE,Wilmington
2617,W38036,2HX,0.6482,RR    MBTA/BMRR,I  93 NB,W380362HXDOTNBI,NBI,DOT,42,35,36.71,71,9,58.37,11,4,73300,23.2,18.9,21.1,5,TRUE,0,0,0,FALSE,Wilmington
2618,W38037,2HY,0.6992,RR    MBTA/BMRR,I  93 SB,W380372HYDOTNBI,NBI,DOT,42,35,32.7,71,9,59.22,11,4,73300,21.3,18.9,21.1,6,TRUE,0,0,0,FALSE,Wilmington
2619,W43039,2J0,0.8515,RR    BMRR SPUR (ABAND),I  93 NB OFF RMP,W430392J0DOTNBI,NBI,DOT,42,28,43.61,71,6,48.58,12,2,20500,8.7,17.5,18.3,5,TRUE,0,0,0,FALSE,Woburn
2620,W43037,2J1,0.5953,RR    BMRR SPUR (ABAND),I  93,W430372J1DOTNBI,NBI,DOT,42,28,43.43,71,6,50.57,11,8,168300,10.8,48.2,48.6,6,TRUE,0,0,0,FALSE,Woburn
2621,W43040,2J2,0.6321,RR    BMRR SPUR (ABAND),I  93 SB ON RAMP,W430402J2DOTNBI,NBI,DOT,42,28,43.05,71,6,51.75,12,1,14500,10.8,9.3,9.8,5,TRUE,0,0,0,FALSE,Woburn
2622,W43036,2J3,0.6892,HWY   MONTVALE AVE,I  93,W430362J3DOTNBI,NBI,DOT,42,28,47.9783,71,6,53.7515,12,8,170000,54.9,39.6,51.6,6,TRUE,0,0,0,FALSE,Woburn
2627,Q01046,2J8,0.8265,ST 28 RANDOLPH RD,I  93 SB/US1SB,Q010462J8DOTNBI,NBI,DOT,42,12,21.1176,71,3,55.656,12,5,96213,52.7,19.7,22,6,TRUE,0,0,0,FALSE,Quincy
2649,L10010,2JX,0.7069,I  95 /ST128,ST  2 A/MARRETT RD,L100102JXDOTNBI,NBI,DOT,42,26,35.394,71,15,26.298,16,4,22400,81.4,23.8,26.8,4,TRUE,0,0,0,TRUE,Lexington
2651,W29015,2K0,0.8712,I  95 /ST128,ST 30 SOUTH AVE,W290152K0DOTNBI,NBI,DOT,42,20,37.7808,71,15,47.1852,14,4,48800,82.3,18.9,26.5,5,TRUE,0,0,0,FALSE,Weston
2652,N12010,2K1,0.7066,WATER CHARLES  RIVER,ST 30 SOUTH AVE,N120102K1DOTNBI,NBI,DOT,42,20,38.5079,71,15,40.8707,14,4,37750,42.1,10.4,28.3,5,TRUE,0,0,0,FALSE,Newton
2661,L10020,2KA,0.6859,ST  2,HWY   WATERTOWN ST,L100202KADOTNBI,NBI,DOT,42,25,3.036,71,12,17.4563,16,2,13700,64.6,13.4,16.3,5,TRUE,0,0,0,FALSE,Lexington
2662,L10014,2KB,0.6728,I  95 /ST128,ST  4 BEDFORD ST,L100142KBDOTNBI,NBI,DOT,42,28,13.2852,71,14,42.162,14,4,51200,71,23.8,27,5,TRUE,0,0,0,FALSE,Lexington
2668,W43041,2KH,0.759,WATER ABERJONA RIVER,HWY   MONTVALE AVE,W430412KHDOTNBI,NBI,DOT,42,28,46.75,71,7,4.92,12,4,13700,8.5,19.4,23.9,7,TRUE,0,0,0,FALSE,Woburn
2669,C19004,2KJ,0.4568,WATER SUDBURY RIVER,ST 62 /ST2A/MAIN,C190042KJDOTNBI,NBI,DOT,42,27,28.9296,71,21,58.248,14,2,16300,21.9,8.2,9.9,N,TRUE,7,11,17,FALSE,Concord
2670,C19010,2KK,0.8614,WATER ASSABET RIVER,ST 62 MAIN ST,C190102KKDOTNBI,NBI,DOT,42,27,22.8996,71,23,23.6399,14,2,13900,17.4,7.7,10.9,N,TRUE,0,0,0,FALSE,Concord
2671,C19009,2KL,0.682,WATER POWER CANAL,ST 62 MAIN ST,C190092KLDOTNBI,NBI,DOT,42,27,10.2,71,24,33.45,14,2,14350,7,9.8,18.8,N,TRUE,0,0,0,FALSE,Concord
2672,C19009,2KM,0.9906,WATER ASSABET RIVER,ST 62 MAIN ST,C190092KMDOTNBI,NBI,DOT,42,27,10.1807,71,24,33.4115,14,2,24500,26.5,9.8,12.3,7,TRUE,0,0,0,FALSE,Concord
2673,C19008,2KN,0.9374,WATER ASSABET RIVER,ST 62 MAIN ST,C190082KNDOTNBI,NBI,DOT,42,26,31.4339,71,25,34.9104,14,2,13900,24.4,12.2,15,5,TRUE,0,0,0,FALSE,Concord
2678,R03002,2KU,0.8332,RR    MBTA/BMRR,ST129 LOWELL ST,R030022KUDOTNBI,NBI,DOT,42,32,10.2227,71,7,49.5623,14,2,28448,36.6,13.4,16.2,5,TRUE,0,0,0,FALSE,Reading
2679,W38029,2KV,0.7096,I  93,ST129 LOWELL ST,W380292KVDOTNBI,NBI,DOT,42,32,14.5,71,8,6.5,14,2,22000,79.2,13.4,16.4,4,TRUE,20,25,40,TRUE,Wilmington
2682,B16177,2KY,1,WATER CHARLES RIVER,ST109 SPRING ST,B161772KYDOTNBI,NBI,DOT,42,16,15.0779,71,10,24.0203,14,3,38400,38.1,12.2,17.5,N,TRUE,0,0,0,FALSE,Boston
2683,N18008,2L0,0.8401,WATER IPSWICH RIVER,ST 28 MAIN ST,N180082L0DOTNBI,NBI,DOT,42,33,52.32,71,6,28,14,4,27900,18.6,15.2,20.1,5,TRUE,0,0,0,FALSE,North Reading
2684,N18010,2L1,0.6758,WATER MARTINS BROOK,ST 28 MAIN ST,N180102L1DOTNBI,NBI,DOT,42,34,29.85,71,6,38.45,14,4,29600,6.4,15.2,20.1,7,TRUE,0,0,0,FALSE,North Reading
2685,S27006,2L2,0.7521,I  93,ST 28 FELLSWAY W,S270062L2DOTNBI,NBI,DOT,42,27,33.5052,71,6,7.5779,16,2,31300,124.1,12.2,15.8,5,TRUE,0,0,0,TRUE,Stoneham
2686,B16276,2L3,0.8701,WATER FORT POINT CHANNEL,HWY   W FOURTH ST,B162762L3DOTNBI,NBI,DOT,42,20,33.4319,71,3,39.7547,14,4,23000,12.5,16.8,19.5,N,TRUE,0,0,0,FALSE,Boston
2691,W10003,2L8,0.6497,WATER CHARLES RIVER,ST 16 GALEN ST,W100032L8DOTNBI,NBI,DOT,42,21,53.3987,71,11,8.3399,14,5,47300,27.4,18.3,24.7,N,TRUE,0,0,0,FALSE,Watertown
2692,N12007,2L9,0.6605,WATER CHARLES RIVER,ST 16 WASHNGTON ST,N120072L9DOTNBI,NBI,DOT,42,19,31.0691,71,15,30.6144,14,4,37200,43,14.6,19.5,N,TRUE,0,0,0,TRUE,Newton
2693,N12055,2LA,0.5627,I  95 /ST128,ST 16 WASHNGTON ST,N120552LADOTNBI,NBI,DOT,42,19,41.8764,71,15,6.6707,14,5,41500,72.8,22,27.1,7,TRUE,0,0,0,FALSE,Newton
2700,N12058,2LH,1,WATER CHARLES RIVER,ST128 SERVICE RD,N120582LHDOTNBI,NBI,DOT,42,20,15.6336,71,15,26.5752,11,3,35498,62.8,26.8,30.7,8,TRUE,0,0,0,FALSE,Newton
3109,L18019,31A,0.994,WATER GLENMERE LAKE,ST107 WESTERN AVE,L1801931ADOTNBI,NBI,DOT,42,29,9.8556,70,56,25.2636,14,2,29400,158.8,11.6,15.2,7,TRUE,0,0,0,FALSE,Lynn
3111,S05016,31C,0.7479,US  1 BROADWAY,ST129 WALNUT ST,S0501631CDOTNBI,NBI,DOT,42,29,20.2451,71,1,1.7724,14,2,24200,50.7,12.2,15.9,5,TRUE,0,0,0,FALSE,Saugus
3120,S01005,31M,0.6363,WATER FOREST RIVER,ST114 LAFAYETTE ST,S0100531MDOTNBI,NBI,DOT,42,29,48.6239,70,53,11.3819,14,2,19400,15.8,14.6,19.7,5,TRUE,0,0,0,TRUE,Salem
3130,S05015,31Y,0.9471,US  1 BROADWAY,HWY   MAIN ST,S0501531YDOTNBI,NBI,DOT,42,27,53.6327,71,1,30.1692,14,2,15400,30.5,12.2,16.1,6,TRUE,0,0,0,FALSE,Saugus
3156,S01017,32R,0.6706,RR    MBTA (STORAGE TUN),ST107 BRIDGE ST,S0101732RDOT634,634,DOT,42,31,25.9824,70,53,45.5855,14,2,17500,57.9,89,93,N,TRUE,0,0,0,FALSE,Salem
3157,S01018,32T,0.4408,COMB  ST107/BRG ST&MBTA,ST114 NORTH ST,S0101832TDOT634,634,DOT,42,31,29.406,70,53,57.4512,14,4,3400,42.1,18.3,22.1,5,TRUE,20,25,36,TRUE,Salem
3158,S01019,32U,0.7,RR    MBTA (TUNNEL),ST114 /WASHINGTON,S0101932UDOT634,634,DOT,42,31,26.076,70,53,45.4992,14,2,27500,11,304.8,304.8,N,TRUE,0,0,0,FALSE,Salem
3159,S01017,32V,0.6704,RR    MBTA (MAIN LINE),ST107 BRIDGE ST,S0101732VDOT634,634,DOT,42,31,27.4259,70,53,55.2515,14,2,17500,11,34.3,36.1,N,TRUE,0,0,0,FALSE,Salem
3167,L18010,334,0.8437,RR    MBTA/BMRR,HWY   CHESTNUT ST,L18010334DOT634,634,DOT,42,28,3.0396,70,56,8.4264,14,2,5000,19.5,10.4,16.1,7,TRUE,0,0,0,FALSE,Lynn
3178,C02014,33F,0.8139,WATER E BR NEPONSET RIV,HWY   NEPONSET ST,C0201433FMUNNBI,NBI,MUN,42,9,31.3128,71,9,16.7184,14,2,28300,6.1,10.4,18.3,N,TRUE,0,0,0,FALSE,Canton
3179,C02015,33G,0.8511,WATER E BR NEPONSET RIV,HWY   WASHNGTON ST,C0201533GMUNNBI,NBI,MUN,42,9,16.1964,71,8,44.2788,14,2,24300,10.4,12.1,21.3,7,TRUE,0,0,0,FALSE,Canton
3197,D05008,342,0.972,WATER MOTHER BROOK,HWY   WASHNGTON ST,D05008342MUNNBI,NBI,MUN,42,15,18.3,71,9,53.3,14,4,32200,10.1,18.6,24.7,N,TRUE,0,0,0,FALSE,Dedham
3198,R01004,343,0.705,HWY   CANTON ST,ST 24 SB,R01004343DOTNBI,NBI,DOT,42,11,7.8576,71,4,36.1451,12,3,62600,20.1,15.8,18.3,5,TRUE,0,0,0,FALSE,Randolph
3199,R01006,344,0.5444,ST 24 SB CURVE S,ST 24 NB CURVE G,R01006344DOTNBI,NBI,DOT,42,12,3.7296,71,4,44.2703,12,2,39440,26.4,11.6,13.8,5,TRUE,0,0,0,FALSE,Randolph
3200,D05042,345,0.942,I  95 NB /ST128 NB,ST109 HIGH ST,D05042345DOTNBI,NBI,DOT,42,14,40.4915,71,12,6.8363,14,2,25100,46.9,19.5,23.8,6,TRUE,0,0,0,FALSE,Dedham
3201,D05043,346,0.9629,I  95 SB/ST128 SB,ST109 HIGH ST,D05043346DOTNBI,NBI,DOT,42,14,35.8799,71,12,18.9755,14,2,25100,22.8,19.5,23.5,6,TRUE,0,0,0,FALSE,Dedham
3202,B21001,347,0.8779,WATER MONATIQUOT RIVER,ST 53 QUINCY AVE,B21001347DOTNBI,NBI,DOT,42,13,23.8439,70,58,8.4215,14,4,26250,19.2,10.7,14.9,7,TRUE,0,0,0,FALSE,Braintree
3203,W32023,348,0.7479,ST  3,ST 18 MAIN ST,W32023348DOTNBI,NBI,DOT,42,11,40.5816,70,57,20.7468,14,4,56900,43.9,23.5,27.2,7,TRUE,20,25,36,FALSE,Weymouth
3204,W32028,349,1,WATER MILL RIVER,ST 18 MAIN ST,W32028349DOTNBI,NBI,DOT,42,11,45.6432,70,57,20.6712,14,4,31400,11,23.8,57.3,N,TRUE,0,0,0,FALSE,Weymouth
3205,B21029,34A,0.9725,I  93,ST  3 SB,B2102934ADOTNBI,NBI,DOT,42,13,37.0704,71,1,13.5048,12,3,137000,57.9,12.8,14.4,6,TRUE,0,0,0,FALSE,Braintree
3206,D05046,34B,0.9101,I  95 SB/ST128 SB,US  1 PROVDNCE HWY,D0504634BDOTREM,REM,DOT,42,13,40.7784,71,10,56.1576,14,6,24500,27,23.8,23.8,5,TRUE,0,0,0,FALSE,Dedham
3207,D05027,34C,0.5543,I  95 NB/ST128 NB,US  1 PROVDNCE HWY,D0502734CDOTREM,REM,DOT,42,13,41.5056,71,10,55.848,14,6,82600,27.4,24.4,28.3,7,TRUE,0,0,0,FALSE,Dedham
3208,D05029,34D,0.6693,OTHER REPLACED BY AGU,OTHER REMOVED,D0502934DDOTREM,REM,DOT,42,14,54.1212,71,10,18.7356,14,5,54400,26,19.8,23.8,5,TRUE,0,0,0,FALSE,Dedham
3209,D05030,34E,0.5919,OTHER REPLACED BY D05029,OTHER REMOVED,D0503034EDOTREM,REM,DOT,42,14,47.688,71,10,21.1728,14,5,58000,21.6,19.8,23.9,4,TRUE,17,20,27,FALSE,Dedham
3210,D05033,34F,0.5638,WATER MOTHER BROOK,HWY   PROVDNCE HWY,D0503334FDOTNBI,NBI,DOT,42,15,18.3311,71,10,15.7943,14,5,58200,29,21.9,32.7,4,TRUE,20,25,40,TRUE,Dedham
3211,B21016,34G,0.8972,WATER MONATIQUOT RIVER,ST 37 WASHNGTON ST,B2101634GDOTNBI,NBI,DOT,42,11,45.0168,71,0,18.8604,14,5,37900,14.6,18.9,22.9,5,TRUE,0,0,0,FALSE,Braintree
3212,B21036,34H,0.9471,HWY   LIBERTY ST,ST  3,B2103634HDOTNBI,NBI,DOT,42,12,11.8691,70,59,5.5355,12,8,116116,19.7,33.2,36.1,6,TRUE,0,0,0,FALSE,Braintree
3213,B21035,34J,1,WATER MONATIQUOT RIVER,ST  3,B2103534JDOTNBI,NBI,DOT,42,12,24.9011,70,59,39.8039,12,8,145600,16.5,0,53.1,N,TRUE,0,0,0,FALSE,Braintree
3214,B21034,34K,0.523,HWY   UNION ST S ROTARY,ST  3,B2103434KDOTNBI,NBI,DOT,42,12,33.0983,70,59,46.2695,12,3,139500,44.5,33.5,35.4,6,TRUE,0,0,0,FALSE,Braintree
3216,B21033,34M,0.672,HWY   UNION ST N ROTARY,ST  3,B2103334MDOTNBI,NBI,DOT,42,12,41.1803,70,59,48.3719,12,6,137800,43.9,33.7,35.5,6,TRUE,0,0,0,FALSE,Braintree
3218,B21025,34P,0.7672,COMB  MBTA/CSX & REDS,ST  3,B2102534PDOTNBI,NBI,DOT,42,13,10.1351,71,0,1.2779,12,6,145000,36.6,32.9,36,7,TRUE,0,0,0,FALSE,Braintree
3219,B21061,34Q,0.8938,HWY   RAMP C (Q ADAMS),ST  3 NB,B2106134QDOTNBI,NBI,DOT,42,13,41.0124,71,0,36.4535,12,3,138500,23,16.5,17.5,4,TRUE,0,0,0,TRUE,Braintree
3222,B21059,34U,0.7356,ST  3 NB,HWY   RAMP L NB ON,B2105934UDOTNBI,NBI,DOT,42,13,39.9468,71,1,2.4888,12,2,36200,44.5,8.5,9.5,7,TRUE,0,0,0,FALSE,Braintree
3223,B21060,34V,0.7208,HWY   RAMP C (Q ADAMS),ST  3 SB,B2106034VDOTNBI,NBI,DOT,42,13,39.846,71,0,36.8999,12,4,138200,25.4,16.5,17.7,3,TRUE,0,0,0,TRUE,Braintree
3224,B21063,34W,0.9207,ST  3 & RAMPS C&F,HWY   RAMP CC,B2106334WDOTNBI,NBI,DOT,42,13,40.4328,71,0,37.8252,12,2,14500,101.5,9.8,10.8,7,TRUE,0,0,0,FALSE,Braintree
3226,B21066,34Y,0.99,WATER TOWN BROOK,ST  3 & RAMPS,B2106634YDOTNBI,NBI,DOT,42,13,37.0559,71,0,33.8471,12,13,155100,6.7,0,0,N,TRUE,0,0,0,FALSE,Braintree
3227,W32025,350,0.9731,HWY   PLEASANT ST,ST  3 SB,W32025350DOTNBI,NBI,DOT,42,11,14.5392,70,55,59.6099,12,3,62000,20.7,16.6,17.6,7,TRUE,0,0,0,FALSE,Weymouth
3228,W32026,351,0.8117,HWY   PLEASANT ST,ST  3 NB,W32026351DOTNBI,NBI,DOT,42,11,16.1844,70,55,57.9792,12,3,106400,18.6,11,13.4,6,TRUE,0,0,0,FALSE,Weymouth
