OBJECTID,AllBridges_2012April_1_BDEPT,AllBridges_2012April_1_BIN,AllBridges_2012April_1_Health_Index,AllBridges_2012April_1_Item_6A,AllBridges_2012April_1_Item_7,AllBridges_2012April_1_Item_8_Bridge_Cat,AllBridges_2012April_1_Item_8_Owner,AllBridges_2012April_1_Item_16A,AllBridges_2012April_1_Item_16B,AllBridges_2012April_1_Item_16C,AllBridges_2012April_1_Item_17A,AllBridges_2012April_1_Item_17B,AllBridges_2012April_1_Item_17C,AllBridges_2012April_1_Item_26,AllBridges_2012April_1_Item_28A,AllBridges_2012April_1_Item_29,AllBridges_2012April_1_Item_49,AllBridges_2012April_1_Item_52,AllBridges_2012April_1_Item_58,AllBridges_2012April_1_Item_104,AllBridges_2012April_1_Posting_2_Axle,AllBridges_2012April_1_Posting_3_Axle,AllBridges_2012April_1_Posting_5_Axle,AllBridges_2012April_1_Struct_Def,AllBridges_2012April_1_Town_Name
1880,M06014,1TU,0.9741,WATER ASSABET RIVER     ,I 290 ,NBI,DOT,42,21,8.4924,71,36,52.2108,11,6,72627,9.1,0,N,TRUE,0,0,0,FALSE,Marlborough
1881,M06015,1TV,0.7768,HWY   BIGELOW ST        ,I 290 EB          ,NBI,DOT,42,21,40.0356,71,35,50.1936,11,3,40000,23.5,17.1,6,TRUE,0,0,0,FALSE,Marlborough
1882,M06015,1TW,0.7845,HWY   BIGELOW ST        ,I 290 WB          ,NBI,DOT,42,21,40.5972,71,35,50.7804,11,3,40000,23.5,17.1,7,TRUE,0,0,0,FALSE,Marlborough
1883,M06016,1TX,0.9952,I 495                   ,I 290 EB          ,NBI,DOT,42,21,46.638,71,35,26.7072,12,3,40000,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough
1884,M06016,1TY,0.7268,I 495                   ,I 290 WB          ,NBI,DOT,42,21,47.2176,71,35,27.3012,12,3,72000,82.9,17.8,6,TRUE,0,0,0,FALSE,Marlborough
1892,S20017,1U7,0.9305,ST 30 MAIN ST           ,I 495 NB          ,NBI,DOT,42,18,26.2332,71,33,58.3092,11,3,50000,36,17.1,6,TRUE,0,0,0,FALSE,Southborough
1893,S20017,1U8,0.9138,ST 30 MAIN ST           ,I 495 SB          ,NBI,DOT,42,18,26.0748,71,33,59.22,11,3,50000,34.7,17.1,7,TRUE,0,0,0,FALSE,Southborough
1894,S20018,1U9,0.7162,COMB  MDC AQUEDUCT & CSX,I 495 NB          ,NBI,DOT,42,18,49.2948,71,34,3,11,3,50000,97.5,17.1,5,TRUE,0,0,0,FALSE,Southborough
1895,S20018,1UA,0.7331,COMB  MDC AQUEDUCT & CSX,I 495 SB          ,NBI,DOT,42,18,49.1868,71,34,10,11,3,50000,102.1,17.1,5,TRUE,0,0,0,FALSE,Southborough
1896,S20019,1UB,0.9288,HWY   NORTHBORO RD      ,I 495 NB          ,NBI,DOT,42,18,53.9604,71,34,9.5124,11,3,50000,35.4,17.1,6,TRUE,0,0,0,FALSE,Southborough
1897,S20019,1UC,0.9311,HWY   NORTHBORO RD      ,I 495 SB          ,NBI,DOT,42,18,53.6256,71,34,10.344,11,3,50000,33.5,16.2,6,TRUE,0,0,0,FALSE,Southborough
1898,M21022,1UD,0.7957,ST109 MEDWAY RD         ,I 495 NB          ,NBI,DOT,42,8,50.6724,71,29,5.442,11,3,40200,43,17.1,6,TRUE,0,0,0,FALSE,Milford
