OBJECTID,AllBridges_2014April_BDEPT,AllBridges_2014April_BIN,AllBridges_2014April_Health_Index,AllBridges_2014April_Item_6A,AllBridges_2014April_Item_7,AllBridges_2014April_Item_8_Bridge_Cat,AllBridges_2014April_Item_8_Owner,AllBridges_2014April_Item_16A,AllBridges_2014April_Item_16B,AllBridges_2014April_Item_16C,AllBridges_2014April_Item__17A,AllBridges_2014April_Item__17B,AllBridges_2014April_Item__17C,AllBridges_2014April_Item_26,AllBridges_2014April_Item_28A,AllBridges_2014April_Item_29,AllBridges_2014April_Item_49,AllBridges_2014April_Item_52,AllBridges_2014April_Item_58,AllBridges_2014April_Item_104,AllBridges_2014April_Posting_2_Axle,AllBridges_2014April_Posting_3_Axle,AllBridges_2014April_Posting_5_Axle,AllBridges_2014April_Struct_Def,AllBridges_2014April_Town_Name,AllBridges_2014April_RPA
29,S20017,1U8,0.9884,ST 30 MAIN ST,I 495 SB,NBI,DOT,42,18,25.6248,71,33,57.2646,11,3,50000,34.7,17.1,7,True,0,0,0,False,Southborough,MAPC
30,S20018,1U9,0.753,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,DOT,42,18,48.6324,71,34,3.8495,11,3,50000,97.5,17.1,5,True,0,0,0,False,Southborough,MAPC
31,S20018,1UA,0.9823,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,DOT,42,18,48.2327,71,34,5.7036,11,3,50000,102.1,17.1,5,True,0,0,0,False,Southborough,MAPC
32,S20019,1UB,0.9574,HWY   NORTHBORO RD,I 495 NB,NBI,DOT,42,18,54.216,71,34,6.2214,11,3,50000,35.4,17.1,6,True,0,0,0,False,Southborough,MAPC
33,S20019,1UC,0.9571,HWY   NORTHBORO RD,I 495 SB,NBI,DOT,42,18,53.8086,71,34,8.0214,11,3,50000,33.5,16.2,6,True,0,0,0,False,Southborough,MAPC
34,M21022,1UD,0.7648,ST109 MEDWAY RD,I 495 NB,NBI,DOT,42,8,51.0504,71,29,3.2604,11,3,40200,43,17.1,6,True,0,0,0,False,Milford,MAPC
35,M21022,1UE,0.9222,ST109 MEDWAY RD,I 495 SB,NBI,DOT,42,8,51.1542,71,29,5.0274,11,3,40200,43,17.1,6,True,0,0,0,False,Milford,MAPC
36,M21017,1UF,0.7994,OTHER BIKE TRAIL,I 495 SB,NBI,DOT,42,9,9.8856,71,29,12.8291,11,3,38700,23.8,17.1,7,True,0,0,0,False,Milford,MAPC
37,M21017,1UG,0.7993,OTHER BIKE TRAIL,I 495 NB,NBI,DOT,42,9,10.854,71,29,10.7838,11,3,38700,23.8,17.1,6,True,0,0,0,False,Milford,MAPC
38,M21021,1UH,0.7017,ST 16 E MAIN ST,I 495 SB,NBI,DOT,42,9,16.6139,71,29,17.4155,11,3,56000,29.3,17.4,6,True,0,0,0,False,Milford,MAPC
39,M21021,1UJ,0.5981,ST 16 E MAIN ST,I 495 NB,NBI,DOT,42,9,18.2478,71,29,15.543,11,3,56000,29.3,17.4,7,True,0,0,0,False,Milford,MAPC
40,M21020,1UK,0.786,ST 85 CEDAR ST,I 495 NB,NBI,DOT,42,10,0.01482,71,30,31.5828,11,3,65000,33.5,17.4,6,True,0,0,0,False,Milford,MAPC
