OBJECTID,allbridgesAug07_BDEPT,allbridgesAug07_BIN,allbridgesAug07_Health_Index,allbridgesAug07_Item_6A,allbridgesAug07_Item_7,allbridgesAug07_Item_8_Bridge_Cat,allbridgesAug07_Item_8_Owner,allbridgesAug07_Item_16A,allbridgesAug07_Item_16B,allbridgesAug07_Item_16C,allbridgesAug07_Item_17A,allbridgesAug07_Item_17B,allbridgesAug07_Item_17C,allbridgesAug07_Item_26,allbridgesAug07_Item_28A,allbridgesAug07_Item_29,allbridgesAug07_Item_49,allbridgesAug07_Item_52,allbridgesAug07_Item_58,allbridgesAug07_Item_104,allbridgesAug07_Posting_2_Axle,allbridgesAug07_Posting_3_Axle,allbridgesAug07_Posting_5_Axle,allbridgesAug07_Struct_Def,allbridgesAug07_Town_Name
1920,B15004,1V2,0.8639,HWY   S BOLTON RD,I 495 NB,NBI,MHD,42,24,57.1824,71,36,21.0672,1,4,35700,36.6,17.4,6,TRUE,0,0,0,FALSE,Bolton
1921,B15004,1V3,0.7883,HWY   S BOLTON RD,I 495 SB,NBI,MHD,42,24,57.7836,71,36,21.7152,1,4,51800,45.1,17.4,6,TRUE,0,0,0,FALSE,Bolton
1922,B15002,1V4,0.8925,ST117 MAIN ST,I 495 NB,NBI,MHD,42,25,51.168,71,35,36.2184,11,4,98000,36.6,17.7,6,TRUE,0,0,0,FALSE,Bolton
1923,B15002,1V5,0.9036,ST117 MAIN ST,I 495 SB,NBI,MHD,42,25,51.1896,71,35,37.2696,1,4,98000,36.6,17.7,7,TRUE,0,0,0,FALSE,Bolton
1926,F08021,1V8,0.9763,RR    CSX,I 495 SB,NBI,MHD,42,5,14.118,71,25,32.538,11,3,69400,34.1,16.7,6,TRUE,0,0,0,FALSE,Franklin
1927,F08021,1V9,0.9767,RR    CSX,I 495 NB,NBI,MHD,42,5,14.0784,71,25,31.5372,12,3,69400,34.1,16.7,7,TRUE,0,0,0,FALSE,Franklin
1928,F08023,1VA,0.9737,HWY   KING ST,I 495 NB,NBI,MHD,42,3,53.9064,71,24,4.9896,11,4,75000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin
1929,F08023,1VB,0.779,HWY   KING ST,I 495 SB,NBI,MHD,42,3,53.3196,71,24,5.4828,11,4,75000,27.1,16.7,7,TRUE,0,0,0,FALSE,Franklin
1930,F08024,1VC,0.9793,HWY   SUMMER ST,I 495 NB,NBI,MHD,42,3,30.0312,71,23,2.0472,11,4,64900,28.3,16.6,7,TRUE,0,0,0,FALSE,Franklin
1931,F08024,1VD,0.9366,HWY   SUMMER ST,I 495 SB,NBI,MHD,42,3,27.3816,71,23,1.608,11,4,69400,29,16.6,7,TRUE,0,0,0,FALSE,Franklin
1932,F08027,1VE,0.8786,RR    MBTA/CSX,I 495 NB,NBI,MHD,42,4,20.6832,71,24,44.3088,11,4,70000,12.8,16.8,5,TRUE,0,0,0,FALSE,Franklin
1933,F08027,1VF,0.8188,RR    MBTA/CSX,I 495 SB,NBI,MHD,42,4,20.2296,71,24,45.0108,11,4,35000,12.8,16.8,6,TRUE,0,0,0,FALSE,Franklin
1934,F08029,1VG,0.7762,HWY   BEAVER ST,I 495 NB,NBI,MHD,42,4,51.2364,71,25,18.4332,11,4,70000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin
1935,F08029,1VH,0.7749,HWY   BEAVER ST,I 495 SB,NBI,MHD,42,4,50.7756,71,25,19.1532,11,4,70000,23.8,16.7,7,TRUE,0,0,0,FALSE,Franklin
2069,H23012,20Q,0.7883,I 495,I  90 RAMP ON&OFF,NBI,MHD,42,15,45.828,71,33,50.9868,11,2,35000,76.2,18.3,7,TRUE,0,0,0,FALSE,Hopkinton
2203,W11007,24Y,0.6766,WATER SUDBURY RIVER,ST 27 OLD SUDBURY,NBI,MUN,42,22,27.192,71,22,57.2124,14,2,20000,33.2,12,5,TRUE,0,0,0,FALSE,Wayland
2480,A10011,2DL,0.8027,OTHER REPLACED BY AE2,OTHER REMOVED,REM,MHD,42,23,53.25,71,8,39.1776,12,4,75000,43.6,24.9,5,TRUE,9,18,28,FALSE,Arlington
2481,A10021,2DM,0.6467,HWY   LAKE ST,ST  2,NBI,MHD,42,24,8.7696,71,9,24.444,12,8,75000,52.7,42.7,7,TRUE,20,25,38,FALSE,Arlington
2483,A10023,2DP,0.7211,HWY   DOW AVE,ST  2,NBI,MHD,42,24,54.4428,71,11,41.1324,12,8,76000,26.2,42.7,6,TRUE,0,0,0,FALSE,Arlington
2484,A10025,2DQ,0.6668,WATER ALEWIFE BROOK,ST  2 EB RAMP,NBI,MHD,42,23,52.2024,71,8,35.088,14,2,5300,16.5,12.2,6,TRUE,0,0,0,FALSE,Arlington
2485,C19020,2DR,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,MHD,42,27,28.4868,71,22,54.6276,14,4,48800,22.6,23.5,6,TRUE,0,0,0,FALSE,Concord
2486,C19021,2DT,0.6608,WATER SUDBURY RIVER,ST  2 CONCORD TPK,NBI,MHD,42,27,5.7492,71,22,19.002,14,4,85300,26.8,20.1,N,TRUE,0,0,0,TRUE,Concord
2487,C19022,2DU,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,MHD,42,26,42.7164,71,21,4.0608,14,4,55000,21,23.6,6,TRUE,0,0,0,FALSE,Concord
2488,C19007,2DV,0.6839,WATER ASSABET RIVER,ST  2 ELM ST,NBI,MHD,42,27,56.826,71,23,30.6672,14,4,73900,23.2,19.8,N,TRUE,0,0,0,FALSE,Concord
2489,L10019,2DW,0.5483,HWY   PLEASANT ST,ST  2 WB,NBI,MHD,42,25,5.7288,71,12,55.53,12,3,35000,50,20.3,6,TRUE,0,0,0,FALSE,Lexington
2490,L10019,2DX,0.558200587,HWY   PLEASANT ST,ST  2 EB,NBI,MHD,42,25,5.7288,71,12,55.53,12,3,35000,50,20.3,7,TRUE,0,0,0,FALSE,Lexington
2491,L10018,2DY,0.6565,HWY   WALTHAM ST,ST  2 EB,NBI,MHD,42,25,18.1416,71,13,56.0712,12,3,78000,43.9,21.4,8,TRUE,0,0,0,FALSE,Lexington
2492,L10018,2.00E+00,0.658,HWY   WALTHAM ST,ST  2 WB,NBI,MHD,42,25,18.1416,71,13,56.0712,12,3,78000,43.9,21.4,8,TRUE,0,0,0,FALSE,Lexington
2493,L10009,2.00E+01,0.718199957,I  95 /ST128,ST  2 WB,NBI,MHD,42,25,40.422,71,15,32.8104,12,3,42000,99.7,18.3,5,TRUE,0,0,0,FALSE,Lexington
2494,L10009,2.00E+02,0.7051,I  95 /ST128,ST  2 EB,NBI,MHD,42,25,40.422,71,15,32.8104,12,3,42000,99.7,18.3,5,TRUE,0,0,0,FALSE,Lexington
2496,W04033,2.00E+04,1,I  95 /ST128,US 20 EB/WESTON ST,NBI,MHD,42,22,11.4384,71,16,11.28,14,2,24700,75.6,15.3,6,TRUE,0,0,0,FALSE,Waltham
2497,W10005,2.00E+05,0.8593,RR    BMRR (ABANDONED),US 20 MAIN ST,NBI,MHD,42,22,12.0972,71,11,38.7564,14,2,29200,17.1,18.7,6,TRUE,0,0,0,FALSE,Watertown
2498,W29011,2.00E+06,0.6788,RR    MBTA/BMRR,US 20 EB,NBI,MHD,42,22,9.0768,71,16,17.058,14,1,24900,42.7,11.1,6,TRUE,0,0,0,FALSE,Weston
