OBJECTID,allbridgesAug07_BDEPT,allbridgesAug07_BIN,allbridgesAug07_Health_Index,allbridgesAug07_Item_6A,allbridgesAug07_Item_7,allbridgesAug07_Item_8_Bridge_Cat,allbridgesAug07_Item_8_Owner,allbridgesAug07_Item_16A,allbridgesAug07_Item_16B,allbridgesAug07_Item_16C,allbridgesAug07_Item_17A,allbridgesAug07_Item_17B,allbridgesAug07_Item_17C,allbridgesAug07_Item_26,allbridgesAug07_Item_28A,allbridgesAug07_Item_29,allbridgesAug07_Item_49,allbridgesAug07_Item_52,allbridgesAug07_Item_58,allbridgesAug07_Item_104,allbridgesAug07_Posting_2_Axle,allbridgesAug07_Posting_3_Axle,allbridgesAug07_Posting_5_Axle,allbridgesAug07_Struct_Def,allbridgesAug07_Town_Name
2606,M12035,2HJ,0.7446,ST 28 FELLSWAY WST,I  93 SB,NBI,MHD,42,26,55.068,71,6,18.6372,11,5,169000,27.1,25,6,TRUE,0,0,0,FALSE,Medford
2607,R03011,2HK,0.6681,I  95 /ST128,I  93,NBI,MHD,42,30,7.902,71,7,8.6556,11,8,168800,75.6,52.5,7,TRUE,0,0,0,FALSE,Reading
2608,R03010,2HL,0.6609,HWY   WEST ST,I  93,NBI,MHD,42,30,32.742,71,7,25.9284,11,8,148700,48.2,47.2,8,TRUE,0,0,0,FALSE,Reading
2609,S27004,2HM,0.6237,RR    BMRR SPUR (ABAND),I  93,NBI,MHD,42,28,42.5712,71,6,51.7608,11,8,168800,9.4,49.7,6,TRUE,0,0,0,FALSE,Stoneham
2610,S27007,2HN,0.8946,HWY   BORDER RD ACCESS,I  93,NBI,MHD,42,28,8.0436,71,6,27.0396,11,8,180500,39,50.6,5,TRUE,0,0,0,FALSE,Stoneham
2613,W38028,2HR,0.4584,RR    MBTA/BMRR,I  93 NB,NBI,MHD,42,32,27.8052,71,8,7.4472,11,5,669000,29,22.6,6,TRUE,0,0,0,FALSE,Wilmington
2614,W38028,2HT,0.4676,RR    MBTA/BMRR,I  93 SB,NBI,MHD,42,32,28.8096,71,8,8.3976,11,4,669000,28,22.6,6,TRUE,0,0,0,FALSE,Wilmington
2615,W38026,2HU,0.6458,WATER IPSWICH RIVER,I  93 NB,NBI,MHD,42,33,9.27,71,8,16.926,11,4,133800,12.5,24.4,5,TRUE,0,0,0,FALSE,Wilmington
2616,W38026,2HV,0.6713,WATER IPSWICH RIVER,I  93 SB,NBI,MHD,42,33,9.5364,71,8,18.0204,11,4,133800,12.5,24.4,7,TRUE,0,0,0,FALSE,Wilmington
2617,W38031,2HW,0.8674,HWY   CONCORD ST,I  93,NBI,MHD,42,33,29.5992,71,8,28.0536,11,8,146800,44.8,52.5,5,TRUE,0,0,0,FALSE,Wilmington
2618,W38036,2HX,0.6482,RR    MBTA/BMRR,I  93 SB,NBI,MHD,42,35,31.9128,71,10,1.2468,11,4,73400,23.2,21.1,6,TRUE,0,0,0,FALSE,Wilmington
2619,W38037,2HY,0.6992,RR    MBTA/BMRR,I  93 NB,NBI,MHD,42,35,36.5028,71,10,0.5304,11,4,73400,21.3,21.1,6,TRUE,0,0,0,FALSE,Wilmington
2620,W43039,2J0,0.8515,RR    BMRR SPUR (ABAND),I  93 NB OFF RMP,NBI,MHD,42,28,42.6216,71,6,51.426,12,2,19400,8.7,18.3,5,TRUE,0,0,0,FALSE,Woburn
2621,W43037,2J1,0.6134,RR    BMRR SPUR (ABAND),I  93,NBI,MHD,42,28,42.4632,71,6,52.8948,11,8,168800,10.8,48.6,6,TRUE,0,0,0,FALSE,Woburn
2622,W43040,2J2,0.6321,RR    BMRR SPUR (ABAND),I  93 SB ON RAMP,NBI,MHD,42,28,42.4164,71,6,53.2116,12,1,11600,10.8,9.8,5,TRUE,0,0,0,FALSE,Woburn
2623,W43036,2J3,0.6892,HWY   MONTVALE AVE,I  93,NBI,MHD,42,28,48.2988,71,6,55.7676,12,8,169000,54.9,51.6,6,TRUE,0,0,0,FALSE,Woburn
2628,Q01046,2J8,0.8439,ST 28 RANDOLPH RD,I  93 SB/US1NB,NBI,MHD,42,12,20.8116,71,3,56.4084,12,5,102200,52.7,22,7,TRUE,0,0,0,FALSE,Quincy
3110,L18019,31A,0.994,WATER GLENMERE LAKE,ST107 WESTERN AVE,NBI,MHD,42,29,9.2868,70,56,28.104,14,2,47500,158.8,15.2,7,TRUE,0,0,0,FALSE,Lynn
3761,S28008,3MM,0.9917,HWY   PAGE ST,ST 24,NBI,MHD,42,8,37.3992,71,3,59.8212,12,6,101000,20.4,36.1,7,TRUE,0,0,0,FALSE,Stoughton
1666,M06009,1L4,0.9124,I 495,US 20 EB/BSTN PST,NBI,MHD,42,20,28.3776,71,34,33.3768,14,3,36400,86.9,15,6,TRUE,0,0,0,FALSE,Marlborough
1667,M06009,1L5,0.7884,I 495,US 20 WB/BSTN PST,NBI,MHD,42,20,28.3776,71,34,33.3768,14,3,34000,86.9,15,6,TRUE,0,0,0,FALSE,Marlborough
2260,S31004,26Q,0.947,WATER HOP BROOK,US 20 BSTN POST RD,NBI,MHD,42,21,42.8364,71,25,6.5064,14,2,32000,7.3,11.6,6,TRUE,0,0,0,FALSE,Sudbury
2261,W11001,26R,0.8303,WATER SUDBURY RIVER,US 20 BOSTN PST RD,NBI,MHD,42,21,47.4408,71,22,30.7884,14,2,21000,27.1,10.6,6,TRUE,0,0,0,TRUE,Wayland
2272,F07006,274,0.6067,WATER SUDBURY RIVER,ST  9 /ST30/WRCSTR,NBI,MHD,42,17,58,71,25,34,14,4,52200,22.3,27.5,5,TRUE,20,23,36,TRUE,Framingham
2274,F07001,276,0.3779,WATER RESERVOIR OUTLET,ST  9 WORCESTER RD,NBI,MHD,42,17,37.932,71,27,32.1264,14,4,58800,16.5,27.4,4,TRUE,0,0,0,TRUE,Framingham
2275,N03021,277,0.7123,OTHER REPLACED BY 8RG,OTHER REMOVED,REM,MHD,42,17,55.5324,71,22,19.1064,14,93,63000,21,27.5,5,TRUE,0,0,0,FALSE,Natick
2276,N03032,278,0.7185,ST  9 & RAMP A,HWY   RAMP B,NBI,MHD,42,17,54,71,22,42,14,1,8200,41.8,10.6,5,TRUE,0,0,0,FALSE,Natick
2279,B18001,27B,0.7651,HWY   CENTRAL ST,ST  2,NBI,MHD,42,30,2.6532,71,28,33.3264,12,4,42800,20.1,27.2,7,TRUE,0,0,0,FALSE,Boxborough
2280,L13018,27C,0.9656,RR    MBTA/BMRR,ST  2,NBI,MHD,42,31,3.7452,71,30,7.4088,12,4,38500,53,27,7,TRUE,0,0,0,FALSE,Littleton
2281,L13017,27D,0.7842,HWY   FOSTER ST,ST  2,NBI,MHD,42,31,6.8376,71,30,13.9752,12,4,40000,16.2,27.8,7,TRUE,0,0,0,FALSE,Littleton
2282,M06019,27E,0.7616,HWY   WB CONNECTOR,I 290 RAMP H,NBI,MHD,42,21,52.146,71,35,13.5744,12,2,42500,24.4,10.1,6,TRUE,0,0,0,FALSE,Marlborough
2283,H25016,27F,0.9668,WATER ASSABET RIVER,I 495 NB,NBI,MHD,42,22,7.2696,71,35,43.566,11,3,98655,25.9,17.1,6,TRUE,0,0,0,FALSE,Hudson
2284,H25016,27G,0.7547,WATER ASSABET RIVER,I 495 SB,NBI,MHD,42,22,6.8556,71,35,44.3472,11,3,98655,25.3,17.1,5,TRUE,0,0,0,FALSE,Hudson
2285,H25017,27H,0.9544,HWY   RIVER RD,I 495 NB,NBI,MHD,42,22,17.724,71,35,49.326,11,3,48000,40.8,17.1,7,TRUE,0,0,0,FALSE,Hudson
2286,H25017,27J,0.9728,HWY   RIVER RD,I 495 SB,NBI,MHD,42,22,17.1588,71,35,49.9956,11,3,48000,43,17.1,6,TRUE,0,0,0,FALSE,Hudson
2287,L13022,27K,0.5768,ST  2,I 495 NB,NBI,MHD,42,31,15.4056,71,30,31.4388,11,3,75000,50.9,18.3,4,TRUE,0,0,0,TRUE,Littleton
2288,L13022,27L,0.5836,ST  2,I 495 SB,NBI,MHD,42,31,15.7692,71,30,32.2344,11,3,43000,50.9,18.3,4,TRUE,0,0,0,TRUE,Littleton
2289,L13023,27M,0.8696,RR    MBTA/BMRR,I 495 NB,NBI,MHD,42,31,29.5464,71,30,20.1096,11,3,42200,54.9,18.3,5,TRUE,0,0,0,FALSE,Littleton
2290,L13023,27N,0.8711,RR    MBTA/BMRR,I 495 SB,NBI,MHD,42,31,30.3204,71,30,20.5848,11,3,84400,54.9,17.4,5,TRUE,0,0,0,FALSE,Littleton
2291,L13027,27P,0.9908,WATER BEAVER BROOK,I 495 NB,NBI,MHD,42,32,35.5524,71,29,23,11,3,100000,14.9,19.5,N,TRUE,0,0,0,FALSE,Littleton
2292,L13027,27Q,0.9597,WATER BEAVER BROOK,I 495 SB,NBI,MHD,42,32,36.2724,71,29,13,11,3,100000,14.9,19.5,N,TRUE,0,0,0,FALSE,Littleton
2299,M06012,27Y,0.7578,HWY   BERLIN RD,I 495 NB,NBI,MHD,42,21,31.8348,71,35,10.014,11,3,84600,44.2,17.1,7,TRUE,0,0,0,FALSE,Marlborough
2300,M06012,280,0.8051,HWY   BERLIN RD,I 495 SB,NBI,MHD,42,21,32.0688,71,35,11.4396,11,3,84600,44.2,17.1,7,TRUE,0,0,0,FALSE,Marlborough
2301,M06007,281,0.9095,HWY   N ROBIN HILL ST,I 495 NB,NBI,MHD,42,22,1.9236,71,35,39.8868,11,3,98000,42.2,17.1,6,TRUE,0,0,0,FALSE,Marlborough
2302,M06007,282,0.9009,HWY   N ROBIN HILL ST,I 495 SB,NBI,MHD,42,22,0.9984,71,35,40.4268,11,3,98000,38.3,17.1,7,TRUE,0,0,0,FALSE,Marlborough
2306,A02012,286,0.9072,WATER FORT POND BROOK,ST 27 MAIN ST,NBI,MHD,42,27,33.3108,71,27,17.8776,14,2,11300,6.7,15.2,N,TRUE,0,0,0,FALSE,Acton
2308,M10007,288,0.7609,WATER ASSABET RIVER,ST 27 /ST62/WALTHM,NBI,MHD,42,25,57.1764,71,27,0.1008,14,2,13000,27.7,17.6,3,TRUE,0,0,0,TRUE,Maynard
2324,N03020,28Q,0.8162,ST  9 WORCESTER ST,ST 27 N MAIN ST,NBI,MHD,42,17,59.8056,71,21,37.8504,14,2,28000,30.2,16,5,TRUE,0,0,0,TRUE,Natick
2334,N03034,292,0.712,HWY   RAMPS D & G,HWY   SPEEN ST NB,NBI,MHD,42,17,54,71,22,36,14,2,15000,29.1,12.8,6,TRUE,0,0,0,FALSE,Natick
2342,A02004,29A,0.9982,RR    MBTA/BMRR,ST 27 MAIN ST,634,MHD,42,27,36.0972,71,27,19.1664,14,2,13600,24.4,15.2,7,TRUE,0,0,0,FALSE,Acton
2379,B06020,2AF,0.6884,I 495 NB,ST126 HARTFORD AVE,NBI,MHD,42,6,50.2236,71,27,59.3604,14,4,5600,36.6,15.9,7,TRUE,0,0,0,FALSE,Bellingham
2380,B06020,2AG,0.6803,I 495 SB,ST126 HARTFORD AVE,NBI,MHD,42,6,50.1624,71,28,0.3756,14,4,50600,36.9,16.2,7,TRUE,0,0,0,FALSE,Bellingham
2382,M11003,2AJ,0.9145,WATER CHARLES RIVER,ST109 MAIN ST,NBI,MHD,42,10,51.5568,71,19,22.728,14,2,24700,20.1,15.4,6,TRUE,0,0,0,FALSE,Medfield
2384,B06021,2AL,0.9987,WATER CHARLES RIVER,I 495,NBI,MHD,42,6,25,71,27,29,11,3,60000,10.1,0,N,TRUE,0,0,0,FALSE,Bellingham
2669,W43041,2KH,0.759,WATER ABERJONA RIVER,HWY   MONTVALE AVE,NBI,MHD,42,28,47.0496,71,7,6.7764,12,4,41000,8.5,23.9,7,TRUE,0,0,0,FALSE,Woburn
2683,B16177,2KY,1,WATER CHARLES RIVER,ST109 SPRING ST,NBI,MHD,42,16,14.1204,71,10,25.4136,14,3,44100,38.1,17.5,N,TRUE,0,0,0,FALSE,Boston
2686,S27006,2L2,0.7521,I  93,ST 28 FELLSWAY W,NBI,MHD,42,27,32.6772,71,6,9.0036,16,2,13700,124.1,15.8,5,TRUE,0,0,0,FALSE,Stoneham
2701,N12058,2LH,0.8551,WATER CHARLES RIVER,ST128 SERVICE RD,NBI,MHD,42,20,15.1944,71,15,28.1484,11,3,42000,62.8,30.7,4,TRUE,0,0,0,TRUE,Newton
2726,W29032,2MA,0.6822,OTHER MDC AQUEDUCT,I  90 EB OFF RAMP,NBI,MHD,42,20,42,71,15,48,11,2,36200,8.5,41.5,5,TRUE,0,0,0,FALSE,Weston
2765,W04015,2NH,0.7677,RR    MBTA/BMRR,US 20 MAIN ST,634,MHD,42,22,38.9424,71,13,28.8912,14,4,63900,71.3,25.9,5,TRUE,0,0,0,FALSE,Waltham
2780,W43002,2P0,0.9791,RR    MBTA/BMRR,HWY   MONTVALE AVE,634,MHD,42,28,48.5904,71,7,37.9992,14,2,33300,19.5,16.7,7,TRUE,0,0,0,FALSE,Woburn
2783,W13006,2P3,0.9258,RR    CSX/MBTA,ST  9 WORCESTER ST,634,MHD,42,18,43.9092,71,16,36.318,14,4,53100,28.3,23.8,8,TRUE,0,0,0,FALSE,Wellesley
2895,L19006,2TK,0.9901,I  95 /ST128,US  1 NEWBRPRT TPK,NBI,MHD,42,30,59.2452,71,0,6.7428,14,8,107800,81.7,41.5,5,TRUE,0,0,0,FALSE,Lynnfield
2896,S05001,2TL,0.6507,WATER SAUGUS RIVER,US  1 BROADWAY,NBI,MHD,42,28,57.4896,71,1,13.2672,14,8,83800,7.9,40.5,5,TRUE,0,0,0,FALSE,Saugus
2898,B11004,2TN,0.9866,WATER DANVERS RIVER,ST  1 A/CABOT ST,NBI,MHD,42,32,20.8356,70,53,15.3924,14,4,32000,680.6,27,7,TRUE,0,0,0,FALSE,Beverly
2899,B11004,2TP,0.5275,OTHER REPLACED BY 2TN,OTHER REMOVED,REM,MHD,42,32,20.6556,70,53,15.3708,14,2,26559,150.6,16.1,6,TRUE,0,0,0,FALSE,Beverly
2900,B11004,2TQ,0.7767,OTHER REPLACED BY 2TN,OTHER REMOVED,REM,MHD,42,32,20.7348,70,53,15.3816,14,2,26559,111.3,16.1,6,TRUE,0,0,0,FALSE,Beverly
2905,B11009,2TW,1,ST 97 CABOT ST,ST128,NBI,MHD,42,34,26.3856,70,53,45.3912,12,5,67300,18.9,26.3,N,TRUE,0,0,0,FALSE,Beverly
2906,B11010,2TX,0.9963,ST  1 A/DODGE ST,ST128,NBI,MHD,42,34,28.0416,70,53,33.468,12,5,67300,25.3,26.8,N,TRUE,0,0,0,FALSE,Beverly
2907,B11011,2TY,0.9878,COMB  MBTA & TOZER RD,ST128,NBI,MHD,42,34,30.8532,70,53,6.5508,12,6,67300,36.3,31.1,5,TRUE,0,0,0,FALSE,Beverly
2908,D03018,2U0,0.7011,WATER WATERS RIVER,ST128,NBI,MHD,42,32,49.1748,70,56,12.4944,12,4,97500,18.9,29,4,TRUE,0,0,0,TRUE,Danvers
2909,D03019,2U1,0.4536,WATER CRANE RIVER,ST128,NBI,MHD,42,33,21.7476,70,55,54.2316,12,6,67300,10.4,27.1,N,TRUE,0,0,0,FALSE,Danvers
2910,D03020,2U2,0.7435,RR    MBTA/BMRR,ST128,NBI,MHD,42,33,24.786,70,55,50.5776,12,4,70000,26.2,25.6,4,TRUE,0,0,0,TRUE,Danvers
2911,D03021,2U3,0.9977,ST 35 HIGH ST,ST128,NBI,MHD,42,33,28.8504,70,55,45.9408,12,4,67300,23.5,26,N,TRUE,0,0,0,FALSE,Danvers
2912,D03022,2U4,0.7917,WATER PORTER RIVER,ST128,NBI,MHD,42,33,36.54,70,55,36.4872,12,4,79500,8.5,28,6,TRUE,0,0,0,FALSE,Danvers
2913,D03025,2U5,0.8827,ST 62 ELLIOT ST,ST128,NBI,MHD,42,33,53.964,70,55,23.9952,12,4,67300,21.9,25.4,N,TRUE,0,0,0,FALSE,Danvers
2914,G05024,2U6,0.5362,ST133 ESSEX AVE,ST128,NBI,MHD,42,37,4.9152,70,43,19.074,12,6,35000,22.3,25.6,N,TRUE,0,0,0,FALSE,Gloucester
2915,G05021,2U7,0.8573,HWY   CONCORD ST,ST128,NBI,MHD,42,37,26.5188,70,42,37.062,12,6,34900,18.6,28,5,TRUE,20,25,40,FALSE,Gloucester
2916,G05017,2U8,0.831,WATER ANNISQUAM RIVER,ST128,NBI,MHD,42,37,30.7848,70,41,23.2116,12,4,57160,262.7,20.7,6,TRUE,20,25,40,TRUE,Gloucester
2917,G05022,2U9,0.7405,HWY   MARSH ST,ST128,NBI,MHD,42,37,21.7416,70,40,54.9444,12,4,34900,14,26.9,6,TRUE,0,0,0,FALSE,Gloucester
2918,G05025,2UA,0.6623,HWY   MAPLEWOOD AVE,ST128,NBI,MHD,42,37,23.7252,70,40,12.5832,12,2,23500,14.9,29.6,5,TRUE,0,0,0,FALSE,Gloucester
2919,G05023,2UB,1,RR    MBTA,ST128,NBI,MHD,42,37,28.5204,70,39,53.766,12,4,23500,10.7,29.7,8,TRUE,0,0,0,FALSE,Gloucester
2920,M02014,2UC,0.7471,HWY   PINE ST,ST128 NB,NBI,MHD,42,35,24.1584,70,47,38.5908,12,2,41000,26.5,13.4,7,TRUE,0,0,0,FALSE,Manchester
2921,M02014,2UD,0.747,HWY   PINE ST,ST128 SB,NBI,MHD,42,35,24.1584,70,47,38.5908,12,2,41000,26.5,13.4,7,TRUE,0,0,0,FALSE,Manchester
2922,P03015,2UE,1,HWY   LOWELL ST,ST128,NBI,MHD,42,32,0.4848,70,57,4.7772,12,4,97500,30.5,23.9,6,TRUE,0,0,0,FALSE,Peabody
2923,P03021,2UF,1,HWY   ACCESS RD,ST128,NBI,MHD,42,32,14.1932,70,56,35,12,6,97500,30.8,29.9,6,TRUE,0,0,0,FALSE,Peabody
2924,P03050,2UG,0.6641,I  95 RAMP J,I  95 /ST128,NBI,MHD,42,31,25.4568,70,58,26.292,12,6,82100,31.4,49.9,7,TRUE,0,0,0,FALSE,Peabody
2925,D03009,2UH,0.8386,WATER IPSWICH RIVER,ST114 ANDOVER ST,NBI,MHD,42,34,25.6116,70,59,38.2272,14,2,35850,11.6,14.9,6,TRUE,0,0,0,FALSE,Danvers
2927,M20010,2UK,0.9791,WATER SWAN POND OTLT,ST114 N MAIN ST,NBI,MHD,42,36,10.4184,71,1,42.5928,14,2,20600,14.9,16.5,6,TRUE,11,14,21,FALSE,Middleton
2928,P03010,2UL,1,OTHER REPLACED BY AF9,OTHER REMOVED,REM,MHD,42,32,6.0828,70,55,50.736,14,2,32000,11.9,14.6,7,TRUE,0,0,0,FALSE,Peabody
2929,P03016,2UM,0.8698,ST128,ST114 ANDOVER ST,NBI,MHD,42,32,22.9128,70,56,17.9052,14,4,44900,26.2,20.2,5,TRUE,0,0,0,FALSE,Peabody
2930,S01001,2UN,0.190000075,WATER NORTH RIVER,ST114 NORTH ST,NBI,MHD,42,31,28.5348,70,53,59.5068,14,4,41500,7.3,0,N,TRUE,0,0,0,TRUE,Salem
2954,D03031,2VE,0.7901,ST114 ANDOVER ST,I  95 SB,NBI,MHD,42,33,34.6572,70,58,30.0288,11,3,57000,42.7,21,6,TRUE,0,0,0,FALSE,Danvers
2955,D03031,2VF,0.7901,ST114 ANDOVER ST,I  95 NB,NBI,MHD,42,33,34.4844,70,58,29.1144,11,3,57000,42.7,21,6,TRUE,0,0,0,FALSE,Danvers
2956,D03033,2VG,0.78,ST 62 MAPLE ST,I  95 NB,NBI,MHD,42,34,54.9588,70,57,53.5068,11,4,57000,38.4,21,6,TRUE,0,0,0,FALSE,Danvers
2957,D03033,2VH,0.7682,ST 62 MAPLE ST,I  95 SB,NBI,MHD,42,34,55.3944,70,57,54.2448,11,4,57000,39,23.8,7,TRUE,0,0,0,FALSE,Danvers
2962,P03023,2VN,0.8769,I  95 /ST128,US  1 CONN RPS A&B,NBI,MHD,42,31,8.076,70,59,39.0408,12,6,52000,74.1,23.5,6,TRUE,0,0,0,FALSE,Peabody
2963,P03024,2VP,0.9928,I  95 RAMP F,I  95 RAMP G,NBI,MHD,42,31,13.4328,70,59,44.2788,12,2,11400,19.8,9.1,5,TRUE,0,0,0,FALSE,Peabody
2964,P03025,2VQ,0.9935,I  95 RAMP C,I  95 RAMP D,NBI,MHD,42,31,17.8608,70,59,41.3844,12,2,16200,13.4,9.2,5,TRUE,0,0,0,FALSE,Peabody
2965,P03026,2VR,0.9741,US  1 NEWBURY ST,I  95 RAMPS A&B,NBI,MHD,42,31,24.2688,70,59,49.4052,12,6,35000,79.9,21.5,5,TRUE,0,0,0,FALSE,Peabody
2966,P03044,2VT,0.5855,US  1 NB/NEWBURY ST,I  95 SB CONNECTOR,NBI,MHD,42,32,33.54,70,59,11.3892,12,4,16200,34.1,12.8,6,TRUE,0,0,0,FALSE,Peabody
2967,P03040,2VU,0.7299,HWY   LOWELL ST,I  95 NB,NBI,MHD,42,32,49.6104,70,58,57.1512,11,4,35600,23.5,21.1,6,TRUE,0,0,0,FALSE,Peabody
2968,P03040,2VV,0.7493,HWY   LOWELL ST,I  95 SB,NBI,MHD,42,32,50.1468,70,58,57.8496,11,4,54300,23.5,21.1,6,TRUE,0,0,0,FALSE,Peabody
2969,P03036,2VW,0.7422,RR    MBTA,I  95 NB,NBI,MHD,42,32,49.2,70,58,57.378,11,4,35600,9.3,82.8,6,TRUE,0,0,0,FALSE,Peabody
2970,P03036,2VX,0.7402,RR    MBTA,I  95 SB,NBI,MHD,42,32,47.8752,70,58,59.2392,11,4,54200,9.3,82.8,6,TRUE,0,0,0,FALSE,Peabody
2971,P03046,2VY,0.9591,I  95 RAMP FROM US 1 NB,I  95,NBI,MHD,42,32,30.174,70,59,6.378,11,6,54000,66.4,41.1,7,TRUE,0,0,0,FALSE,Peabody
2972,P03047,2W0,0.6742,I  95 RAMP E,I  95 RAMP G,NBI,MHD,42,31,27.0912,70,58,48.1764,12,3,38800,32.6,13.9,7,TRUE,0,0,0,FALSE,Peabody
2973,P03048,2W1,0.739,ST128,I  95 RAMP G,NBI,MHD,42,31,23.8548,70,58,42.2112,12,3,38100,83.5,13.9,7,TRUE,0,0,0,FALSE,Peabody
2974,P03049,2W2,0.7363,I  95 RAMP J,I  95 RAMP G,NBI,MHD,42,31,21.936,70,58,38.6688,12,3,38800,53.9,13.9,7,TRUE,0,0,0,FALSE,Peabody
2975,L19008,2W3,0.9574,WATER SAUGUS RIVER,I  95 /ST128,NBI,MHD,42,30,46.8432,71,2,15.684,16,6,130000,11,41.5,N,TRUE,0,0,0,FALSE,Lynnfield
2976,L19004,2W4,1,HWY   WALNUT ST,I  95 NB/ST128 NB,NBI,MHD,42,30,49.9932,71,1,45.2568,11,3,64700,17.7,20.5,N,TRUE,0,0,0,FALSE,Lynnfield
2977,L19004,2W5,1,HWY   WALNUT ST,I  95 SB/ST128 SB,NBI,MHD,42,30,50.652,71,1,45.6204,16,4,64700,17.7,20.5,N,TRUE,0,0,0,FALSE,Lynnfield
2978,L19007,2W6,1,HWY   SUMMER ST,I  95 NB/ST128 NB,NBI,MHD,42,30,56.6208,71,0,49.374,11,5,124500,18.3,20.5,N,TRUE,0,0,0,FALSE,Lynnfield
2979,L19007,2W7,1,HWY   SUMMER ST,I  95 SB/ST128 SB,NBI,MHD,42,30,57.2724,71,0,49.7844,11,5,124500,18.3,20.5,N,TRUE,0,0,0,FALSE,Lynnfield
3157,S01017,32R,0.6706,RR    MBTA (STORAGE TUN),ST107 BRIDGE ST,634,MHD,42,31,25.9392,70,53,46.8708,14,2,19200,57.9,93,N,TRUE,0,0,0,FALSE,Salem
3158,S01018,32T,0.4853,COMB  ST107/BRG ST&MBTA,ST114 NORTH ST,634,MHD,42,31,24.672,70,53,57.9768,14,4,32400,42.1,22.1,5,TRUE,20,25,36,FALSE,Salem
3160,S01017,32V,0.6701,RR    MBTA (MAIN LINE),ST107 BRIDGE ST,634,MHD,42,31,25.5252,70,53,48.9624,14,2,19200,11,36.1,N,TRUE,0,0,0,FALSE,Salem
3199,R01004,343,0.7092,HWY   CANTON ST,ST 24 SB,NBI,MHD,42,11,7.1484,71,4,36.03,12,3,68000,20.1,18.3,5,TRUE,0,0,0,FALSE,Randolph
3200,R01006,344,0.543,ST 24 SB CURVE S,ST 24 NB CURVE G,NBI,MHD,42,12,3.5964,71,4,44.7888,12,2,35000,26.4,13.8,5,TRUE,0,0,0,FALSE,Randolph
3201,D05042,345,0.942,I  95 NB /ST128 NB,ST109 HIGH ST,NBI,MHD,42,14,39.966,71,12,8.6256,14,4,31000,46.9,23.8,5,TRUE,0,0,0,FALSE,Dedham
3202,D05043,346,0.9629,I  95 SB/ST128 SB,ST109 HIGH ST,NBI,MHD,42,14,35.5236,71,12,20.3652,14,4,31000,22.8,23.5,6,TRUE,0,0,0,FALSE,Dedham
3206,B21029,34A,0.9558,I  93,ST  3 SB,NBI,MHD,42,13,35.3064,71,0,56.646,12,3,135000,57.9,14.4,7,TRUE,0,0,0,FALSE,Braintree
3207,D05046,34B,0.9101,I  95 SB/ST128 SB,US  1 PROVDNCE HWY,NBI,MHD,42,13,40.7784,71,10,56.1576,14,6,85000,27,23.8,5,TRUE,0,0,0,FALSE,Dedham
3208,D05027,34C,0.5591,I  95 NB/ST128 NB,US  1 PROVDNCE HWY,NBI,MHD,42,13,41.5056,71,10,55.848,14,6,147900,27.4,28.3,7,TRUE,0,0,0,FALSE,Dedham
3209,D05029,34D,0.6693,ST135 HIGH ST,HWY   PROVDNCE HWY,NBI,MHD,42,14,54.1212,71,10,18.7356,14,5,54400,26,23.8,5,TRUE,0,0,0,FALSE,Dedham
3210,D05030,34E,0.5915,HWY   HARRIS ST,HWY   PROVDNCE HWY,NBI,MHD,42,14,47.688,71,10,21.1728,14,5,56900,21.6,23.9,4,TRUE,17,20,27,TRUE,Dedham
3211,D05033,34F,0.633,WATER MOTHER BROOK,HWY   PROVDNCE HWY,NBI,MHD,42,15,19.0764,71,10,15.8844,14,5,57500,29,32.7,5,TRUE,0,0,0,TRUE,Dedham
3213,B21036,34H,0.9488,HWY   LIBERTY ST,ST  3,NBI,MHD,42,12,10.9008,70,59,7.7352,12,8,145000,19.7,36.1,6,TRUE,0,0,0,FALSE,Braintree
3214,B21035,34J,0.669999978,WATER MONATIQUOT RIVER,ST  3,NBI,MHD,42,12,23.5404,70,59,42.2592,12,8,140000,16.5,53.1,N,TRUE,0,0,0,FALSE,Braintree
3215,B21034,34K,0.7968,HWY   UNION ST S ROTARY,ST  3,NBI,MHD,42,12,32.2092,70,59,48.39,12,3,137000,44.5,35.4,7,TRUE,0,0,0,FALSE,Braintree
3217,B21033,34M,0.8582,HWY   UNION ST N ROTARY,ST  3,NBI,MHD,42,12,39.6936,70,59,50.5032,12,6,135000,43.9,35.5,6,TRUE,0,0,0,FALSE,Braintree
3218,B21062,34N,0.9631,HWY   RAMP C (Q ADAMS),HWY   ON RAMP F,NBI,MHD,42,13,36,71,1,18,12,2,19600,23,9.5,7,TRUE,0,0,0,FALSE,Braintree
3219,B21025,34P,0.685,COMB  MBTA/CSX & REDS,ST  3,NBI,MHD,42,13,10.0632,71,0,2.5236,12,6,140200,36.6,36,7,TRUE,0,0,0,FALSE,Braintree
3220,B21061,34Q,0.896,HWY   RAMP C (Q ADAMS),ST  3 NB,NBI,MHD,42,13,36,71,1,18,12,3,137000,23,17.5,5,TRUE,0,0,0,FALSE,Braintree
3221,B21057,34R,0.9683,RR    MBTA,HWY   RAMP F,NBI,MHD,42,13,36,71,1,12,12,2,20200,20.4,12.2,7,TRUE,0,0,0,FALSE,Braintree
3222,B21058,34T,0.991,ST  3 SB CONNECTOR,HWY   RMP J (WASH),NBI,MHD,42,13,36,71,1,18,12,2,12500,45.7,7.7,7,TRUE,0,0,0,FALSE,Braintree
