TOWN_ID,TOWN,SUM_CENTERLINE_MILES,SUM_SIDEWALK_MILES,SUM_SIDEWALK_EITHER_MILES
2,ACTON,161.719881,20.74506485,17.85231596
10,ARLINGTON,133.2514358,152.1364934,83.36439702
14,ASHLAND,106.713916,31.01820007,28.36473672
23,BEDFORD,106.2959111,34.40876939,30.45711427
25,BELLINGHAM,126.093232,40.25173717,30.83044911
26,BELMONT,92.95508901,107.219658,58.56313837
30,BEVERLY,177.2691108,169.4761101,98.55187178
34,BOLTON,82.54703746,2.51351488,2.087214627
35,BOSTON,1128.22,1512.93,823.2634152
37,BOXBOROUGH,51.6576733,4.456744269,4.456744269
40,BRAINTREE,183.9158278,136.8100738,82.4104889
46,BROOKLINE,127.4333135,168.9040053,97.15550263
48,BURLINGTON,143.1624457,28.51812158,25.55321344
49,CAMBRIDGE,161.2290556,236.7225714,126.8387626
50,CANTON,143.6855255,45.77098772,38.2562497
51,CARLISLE,76.4679697,2.828117907,2.828117907
57,CHELSEA,56.14211933,78.83430052,43.65446189
65,COHASSET,71.56879626,12.1392962,10.16964797
67,CONCORD,154.9928397,55.68501225,41.31811984
71,DANVERS,162.7147279,134.6365489,81.22497881
73,DEDHAM,126.0642869,97.48497861,65.55561526
78,DOVER,72.1615435,1.152091292,1.005804703
82,DUXBURY,175.8067227,3.258533907,2.916158824
92,ESSEX,43.93233719,6.534835414,5.762651122
93,EVERETT,81.85676669,111.005272,58.43635376
99,FOXBOROUGH,135.5292302,56.39122432,38.43311518
100,FRAMINGHAM,298.4761453,157.9080448,117.9178096
101,FRANKLIN,201.3798927,135.7948312,93.48873083
107,GLOUCESTER,206.8922607,65.14802722,42.51187643
119,HAMILTON,77.51877197,11.61888773,10.75492215
122,HANOVER,118.6337901,9.81003532,9.552258034
131,HINGHAM,192.8728951,49.59502692,43.44302174
133,HOLBROOK,59.08740551,44.45068875,25.2761905
136,HOLLISTON,110.7534709,47.98482729,35.68847802
139,HOPKINTON,148.0328251,44.60516128,43.60043736
141,HUDSON,116.0524072,71.80970256,42.88745824
142,HULL,65.08441023,30.75870069,22.21985833
144,IPSWICH,137.1434806,19.69900365,15.19104534
155,LEXINGTON,201.3248949,74.45839731,59.46270141
157,LINCOLN,90.21046353,1.87801403,1.87801403
158,LITTLETON,113.7514278,13.6706503,13.6706503
163,LYNN,199.7888473,259.7151305,140.677916
164,LYNNFIELD,83.17006523,89.84143354,53.94109527
165,MALDEN,126.0225348,170.0731599,89.40588374
166,MANCHESTER,53.51675442,17.78172057,12.69658954
168,MARBLEHEAD,90.54666159,72.97978677,43.26082416
170,MARLBOROUGH,216.4796207,138.0307842,83.66219429
171,MARSHFIELD,205.7245186,57.05702214,45.28770005
174,MAYNARD,60.36187996,24.03653791,15.30186128
175,MEDFIELD,97.5515038,56.16543767,33.00282762
176,MEDFORD,151.2008837,194.2920457,107.4811186
177,MEDWAY,92.70023015,30.4606725,26.77684783
178,MELROSE,88.76935599,105.7396716,57.94681124
184,MIDDLETON,71.99364162,17.87450991,15.62394001
185,MILFORD,145.8471409,76.9742908,55.18276524
187,MILLIS,65.94301708,23.30859639,16.30002107
189,MILTON,154.2239247,132.7011998,81.207557
196,NAHANT,20.42550609,16.46569591,11.01173969
198,NATICK,183.7843989,143.8820326,91.81071081
199,NEEDHAM,153.2606908,185.6031657,106.092543
207,NEWTON,352.6392311,455.4104311,257.9343902
208,NORFOLK,90.76235924,20.6707062,20.57896572
213,NORTH READING,99.32631255,65.70172496,37.9484695
219,NORWELL,109.2264498,8.177990682,7.372172244
220,NORWOOD,139.3837011,141.9988922,79.73880865
229,PEABODY,226.3588769,237.7088279,127.682096
231,PEMBROKE,137.5233058,32.79590365,28.75892118
243,QUINCY,261.6599264,344.174805,188.9585561
244,RANDOLPH,136.7120157,117.8679792,72.83781771
246,READING,111.4350927,82.43558418,48.8154157
248,REVERE,118.9528596,131.3028266,77.07772121
251,ROCKLAND,83.54488832,60.66069557,43.04383974
252,ROCKPORT,64.73065315,13.69357383,9.934826705
258,SALEM,129.3835362,135.0991807,76.7083067
262,SAUGUS,131.6191821,71.6182289,44.0468663
264,SCITUATE,143.8885601,30.96290739,28.69392132
266,SHARON,149.4221306,91.35972804,56.08117158
269,SHERBORN,66.20671493,11.49161204,11.49161204
274,SOMERVILLE,115.1473769,182.6503793,98.16198913
277,SOUTHBOROUGH,102.8609279,21.63814806,20.78384349
284,STONEHAM,91.06820976,78.46714008,45.71295739
285,STOUGHTON,157.6064326,51.54158792,45.56831056
286,STOW,77.8390779,7.658542938,7.658542938
288,SUDBURY,171.2377917,5.180537418,4.747618282
291,SWAMPSCOTT,54.72690136,66.46229791,36.32799089
298,TOPSFIELD,72.62461791,13.21693143,13.21693143
305,WAKEFIELD,113.1471211,112.7773638,65.21404914
307,WALPOLE,162.8453291,94.71713302,73.69567025
308,WALTHAM,223.2639345,187.6086129,104.2935855
314,WATERTOWN,103.8114999,134.0788837,71.50222136
315,WAYLAND,115.5476119,9.889087408,8.700177387
317,WELLESLEY,153.5578387,101.0251105,67.2669744
320,WENHAM,39.53863323,8.052743776,7.366131832
333,WESTON,132.9224271,22.36939063,20.50228887
335,WESTWOOD,108.217936,35.67383886,32.33246496
336,WEYMOUTH,229.5105316,153.1202099,100.8658942
342,WILMINGTON,155.6728839,52.36280091,31.52531833
344,WINCHESTER,104.5662793,81.77252323,49.33527641
346,WINTHROP,44.92858347,63.65789436,35.22142914
347,WOBURN,182.2637312,123.2541835,76.26502715
350,WRENTHAM,113.9299777,24.82514281,22.69069563
