TOWN_ID,TOWN,SUM_CENTERLINE_MILES,SUM_SIDEWALK_MILES,SUM_SIDEWALK_EITHER_MILES
2,ACTON,160.8468584,20.80144848,17.898247
10,ARLINGTON,133.011926,152.1883352,83.37820731
14,ASHLAND,105.5699638,31.01830138,28.36483801
23,BEDFORD,105.8673754,34.40877895,30.45700388
25,BELLINGHAM,125.5981036,40.14684928,30.72470715
26,BELMONT,93.07112771,107.3512768,58.62766224
30,BEVERLY,175.3302999,169.1490609,98.46661736
34,BOLTON,82.57102413,2.537129716,2.110544639
35,BOSTON,1136.08,1514.59,824.0153584
37,BOXBOROUGH,50.9406031,4.456744089,4.456744089
40,BRAINTREE,186.0638675,136.2034804,81.97354982
46,BROOKLINE,136.7538909,169.7613836,97.90838495
48,BURLINGTON,141.7065227,28.49534974,25.53043891
49,CAMBRIDGE,160.072471,236.8853105,126.6865968
50,CANTON,142.3883639,45.74215881,38.2291969
51,CARLISLE,75.86974181,2.828010353,2.828010353
57,CHELSEA,56.22599007,78.76631096,43.64793082
65,COHASSET,71.76992701,12.1705901,10.2012148
67,CONCORD,153.7356994,55.91467968,41.43304953
71,DANVERS,162.9411522,135.0402193,81.60194312
73,DEDHAM,125.4995423,97.47464692,65.54862248
78,DOVER,72.52622481,1.152091897,1.005804971
82,DUXBURY,175.3176291,3.259119406,2.916744315
92,ESSEX,45.19459064,6.53483545,5.762651091
93,EVERETT,81.73784903,111.0506464,58.45182618
99,FOXBOROUGH,134.1713531,56.18769197,38.33196779
100,FRAMINGHAM,296.9615837,157.4796354,117.7959884
101,FRANKLIN,199.7471839,135.9585125,93.68664115
107,GLOUCESTER,206.1711064,64.97534729,42.4200008
119,HAMILTON,76.34597008,11.66955144,10.805829
122,HANOVER,117.6373622,9.776497223,9.535489051
131,HINGHAM,193.6930695,49.61773177,43.42533607
133,HOLBROOK,57.85099663,44.3591683,25.18462781
136,HOLLISTON,109.7882152,46.57322089,34.98291332
139,HOPKINTON,147.7610913,44.5945071,43.58941158
141,HUDSON,116.6256417,71.81088421,42.88794034
142,HULL,64.53090952,30.65038956,22.1332237
144,IPSWICH,136.6518612,19.1441529,14.78261973
155,LEXINGTON,201.4720419,74.45853668,59.46251597
157,LINCOLN,89.59115927,1.753358839,1.753358839
158,LITTLETON,113.5497338,12.10146733,12.10146733
163,LYNN,199.2739554,259.9015552,140.8131889
164,LYNNFIELD,82.84584293,89.84485747,53.94478401
165,MALDEN,124.9383278,170.0443304,89.38559916
166,MANCHESTER,53.48936781,17.85725602,12.73250383
168,MARBLEHEAD,89.70038026,72.96781415,43.24982101
170,MARLBOROUGH,213.2616995,137.5927813,83.43797781
171,MARSHFIELD,204.2447182,57.05429759,45.28682096
174,MAYNARD,60.2916095,24.03742597,15.30215401
175,MEDFIELD,97.79187972,55.96636996,32.90342576
176,MEDFORD,150.9614934,194.3643478,107.5320914
177,MEDWAY,92.2669227,30.42582436,26.74178346
178,MELROSE,88.72005674,105.7733951,57.95104864
184,MIDDLETON,70.21385092,17.50368468,15.2531149
185,MILFORD,144.5607658,76.9518523,55.15731675
187,MILLIS,66.27071777,23.2751007,16.26539494
189,MILTON,154.1252146,132.5845352,81.14711851
196,NAHANT,20.38976625,16.46591997,11.01176451
198,NATICK,183.7940925,143.8363508,91.75147551
199,NEEDHAM,155.9076687,185.3252554,105.9355691
207,NEWTON,353.6716141,456.4535633,258.640504
208,NORFOLK,90.11936978,15.14002706,15.14002706
213,NORTH READING,97.60726079,62.73130832,35.7132223
219,NORWELL,109.4888767,5.599676173,4.904215396
220,NORWOOD,139.2450216,141.8484932,79.66915302
229,PEABODY,226.52159,237.7212319,127.6919827
231,PEMBROKE,137.162019,32.79725836,28.76027614
243,QUINCY,265.0426962,345.8530651,188.672856
244,RANDOLPH,136.3272629,117.6600291,72.82751096
246,READING,111.3403305,82.44484126,48.82475133
248,REVERE,119.0363037,131.3842102,77.11355012
251,ROCKLAND,84.80143495,60.5626859,42.99485652
252,ROCKPORT,64.16766362,13.69355172,9.934804656
258,SALEM,128.4954651,135.4934547,76.87570791
262,SAUGUS,131.0818467,71.14942448,43.80499836
264,SCITUATE,143.8517357,30.71596013,28.44697378
266,SHARON,149.6369899,91.66735598,56.23328144
269,SHERBORN,65.77063461,11.49171418,11.49171418
274,SOMERVILLE,114.3707825,182.5694046,98.18082898
277,SOUTHBOROUGH,101.7859923,14.01211114,13.25649838
284,STONEHAM,91.08760249,78.43132829,45.69495675
285,STOUGHTON,157.9691382,51.36853987,45.44325598
286,STOW,77.24346255,7.658543111,7.658543111
288,SUDBURY,170.3092867,5.180537499,4.747618327
291,SWAMPSCOTT,54.84150216,66.58792781,36.39118323
298,TOPSFIELD,72.63196207,13.2169313,13.2169313
305,WAKEFIELD,112.6673715,111.963839,64.74699674
307,WALPOLE,161.7205713,94.96859406,73.90909626
308,WALTHAM,225.7286366,187.5845619,104.2706941
314,WATERTOWN,103.8432971,133.9967807,71.46804337
315,WAYLAND,115.374863,9.889142508,8.70023254
317,WELLESLEY,155.6143558,101.0949723,67.27590323
320,WENHAM,39.57163628,8.053048961,7.36643717
333,WESTON,132.2221388,22.36942066,20.50231914
335,WESTWOOD,108.0103218,35.62505911,32.28381205
336,WEYMOUTH,229.7594529,153.0736163,100.6449652
342,WILMINGTON,154.5992834,52.36209585,31.52477153
344,WINCHESTER,104.3513979,81.79030633,49.34576707
346,WINTHROP,44.92858257,63.65798627,35.22142883
347,WOBURN,180.2426429,123.1981311,76.2045494
350,WRENTHAM,115.1071304,24.82620235,22.69174803
