TOWN_ID,TOWN,SUM_CENTERLINE_MILES,SUM_SIDEWALK_MILES,SUM_SIDEWALK_EITHER_MILES
2,ACTON,162.4877435,21.04132151,18.14857262
10,ARLINGTON,133.1690446,152.1810229,83.37755985
14,ASHLAND,107.6053289,31.03119351,28.37773015
23,BEDFORD,107.5368749,43.20149761,36.79629292
25,BELLINGHAM,127.7243144,40.06121204,30.63982415
26,BELMONT,92.92714243,107.0189426,58.47727657
30,BEVERLY,178.1569987,169.4193017,98.61345179
34,BOLTON,84.51557813,2.513982486,2.087397429
35,BOSTON,1152.53,1512.54,822.9533421
37,BOXBOROUGH,52.37217858,6.7730986,6.7730986
40,BRAINTREE,184.0249718,136.9545881,82.49399135
46,BROOKLINE,126.868704,167.9466091,96.64963775
48,BURLINGTON,145.4555316,28.52137536,25.5564711
49,CAMBRIDGE,158.261415,236.9656463,126.9791483
50,CANTON,145.5947213,45.77399205,38.2650963
51,CARLISLE,77.80475448,2.828010268,2.828010268
57,CHELSEA,56.31981782,78.95242826,43.71928052
65,COHASSET,71.42602488,12.13782972,10.16845454
67,CONCORD,155.1197293,55.73292284,41.3657159
71,DANVERS,163.3996989,135.9158465,82.44606494
73,DEDHAM,128.4238844,97.48310284,65.54980934
78,DOVER,72.87153114,1.152091292,1.005804703
82,DUXBURY,176.50459,3.25863132,2.916256237
92,ESSEX,44.41308944,6.529684658,5.757500365
93,EVERETT,81.812469,111.1770109,58.54500411
99,FOXBOROUGH,136.8526894,56.35025316,38.4031965
100,FRAMINGHAM,296.7935581,158.0099119,117.9345924
101,FRANKLIN,205.4845759,135.7803388,93.55423975
107,GLOUCESTER,207.0260194,65.14506783,42.50953285
119,HAMILTON,77.71122775,11.61858406,10.75486163
122,HANOVER,118.6188812,24.91118568,23.20246858
131,HINGHAM,197.5900843,55.33448933,49.12458361
133,HOLBROOK,59.26355801,44.6624869,25.38199112
136,HOLLISTON,111.3505704,49.73627696,36.86670116
139,HOPKINTON,151.0441924,44.70863269,43.70390877
141,HUDSON,118.8834486,71.81088374,42.88794012
142,HULL,64.260876,30.04528453,21.58461384
144,IPSWICH,137.2679517,19.71141492,15.19960304
155,LEXINGTON,207.0507889,74.48160246,59.48546235
157,LINCOLN,89.76322857,1.87801403,1.87801403
158,LITTLETON,112.9081876,13.77090819,13.77090819
163,LYNN,198.8784508,259.4241553,140.5621572
164,LYNNFIELD,84.68688074,91.28660153,54.79592602
165,MALDEN,126.1378471,169.9522081,89.45644048
166,MANCHESTER,53.69939518,17.79158675,12.70382832
168,MARBLEHEAD,91.04199122,73.60397523,43.25886172
170,MARLBOROUGH,218.5939731,138.0943979,83.72412271
171,MARSHFIELD,207.2785404,57.04679341,45.27747132
174,MAYNARD,60.36188001,24.03742596,15.30215402
175,MEDFIELD,98.02155936,56.20257298,33.03986104
176,MEDFORD,151.3566562,194.9254358,108.0732091
177,MEDWAY,93.65798882,30.45692119,26.7728801
178,MELROSE,88.95764138,105.7401718,57.94706144
184,MIDDLETON,74.07206799,19.05841998,16.73762916
185,MILFORD,146.1686827,77.07551216,55.28254644
187,MILLIS,66.47057402,23.30880093,16.30022561
189,MILTON,153.1919487,131.3871935,80.01934879
196,NAHANT,20.42550609,16.46589491,11.01173969
198,NATICK,184.557764,147.4940097,93.68925829
199,NEEDHAM,154.3630932,185.6124002,106.088853
207,NEWTON,353.0191764,455.4105285,257.9245228
208,NORFOLK,92.54525085,20.67101052,20.57927005
213,NORTH READING,100.5203617,65.70968849,37.95643303
219,NORWELL,109.5826658,8.177682866,7.371864428
220,NORWOOD,140.0920531,142.540598,80.00924777
229,PEABODY,227.1097652,238.6380336,128.4856874
231,PEMBROKE,139.848238,32.77969361,28.74271115
243,QUINCY,261.9512619,343.4123943,188.353167
244,RANDOLPH,136.4676604,117.8825479,72.85328325
246,READING,112.5841239,82.44614733,48.82707389
248,REVERE,119.8783286,131.524873,77.27683652
251,ROCKLAND,83.66002097,60.59866938,42.98171676
252,ROCKPORT,65.02762475,13.69346027,9.934713152
258,SALEM,130.2446913,140.505679,78.94349125
262,SAUGUS,133.1706432,76.60765281,46.49771887
264,SCITUATE,144.1978374,32.29060792,30.02162185
266,SHARON,150.7363998,91.73556186,56.27270125
269,SHERBORN,66.34337572,11.49171354,11.49171354
274,SOMERVILLE,116.0949531,182.8030643,98.25041906
277,SOUTHBOROUGH,103.3901102,21.64644351,20.79213894
284,STONEHAM,91.35055676,78.01708701,45.26299215
285,STOUGHTON,158.1517604,51.5449743,45.5699294
286,STOW,79.98239097,7.619887646,7.619887646
288,SUDBURY,171.5789298,12.01928164,10.86568405
291,SWAMPSCOTT,54.74940057,66.55665699,36.38750819
298,TOPSFIELD,72.62461791,13.21693143,13.21693143
305,WAKEFIELD,112.9131371,112.8733523,65.26259798
307,WALPOLE,162.8229831,94.977861,73.95059706
308,WALTHAM,219.2110657,187.7192063,104.4400501
314,WATERTOWN,103.9368204,134.0887053,71.4175412
315,WAYLAND,115.7016011,9.889087408,8.700177387
317,WELLESLEY,152.6581382,100.9504655,67.23912557
320,WENHAM,39.46198098,8.141705813,7.455093868
333,WESTON,133.3500314,23.12288605,20.98833314
335,WESTWOOD,108.3218679,35.66290807,32.32475357
336,WEYMOUTH,228.9688412,153.470118,100.8590707
342,WILMINGTON,157.1754586,52.35527286,31.5178828
344,WINCHESTER,104.5473625,81.74058426,49.30789323
346,WINTHROP,44.97395034,64.19834943,35.4824209
347,WOBURN,182.1116881,126.1301925,77.79827625
350,WRENTHAM,115.2600494,24.83015214,22.69570496
