"year","center_line_miles","sidewalk_miles","sidewalk_to_miles","sidewalk_any_miles","town"
"2015","355.98697","257.79277","0.72416","457.00374","NEWTON"
"2015","96.07649","24.756","0.25767","24.92102","NORFOLK"
"2015","97.97833","47.05782","0.48029","77.09629","NORTH READING"
"2015","107.89589","9.16251","0.08492","10.42393","NORWELL"
"2015","137.8167","84.2008","0.61096","149.91318","NORWOOD"
"2015","233.16438","125.06623","0.53639","237.51618","PEABODY"
"2015","142.38411","36.06664","0.25331","41.01461","PEMBROKE"
"2015","263.87458","186.54084","0.70693","344.79481","QUINCY"
"2015","137.64241","76.26499","0.55408","125.38874","RANDOLPH"
"2015","113.92816","49.94833","0.43842","85.2351","READING"
"2015","121.7323","76.76161","0.63058","131.47176","REVERE"
"2015","87.07985","42.93109","0.49301","61.92825","ROCKLAND"
"2015","65.11076","11.94824","0.18351","15.78886","ROCKPORT"
"2015","129.77255","79.60103","0.61339","143.48549","SALEM"
"2015","136.13563","50.6476","0.37204","83.21455","SAUGUS"
"2015","146.02361","31.50303","0.21574","34.15308","SCITUATE"
"2015","149.24962","57.03099","0.38212","92.78597","SHARON"
"2015","67.69788","10.6844","0.15782","10.73048","SHERBORN"
"2015","118.86723","97.59582","0.82105","183.4532","SOMERVILLE"
"2015","100.49774","19.72166","0.19624","20.78462","SOUTHBOROUGH"
"2015","92.53132","46.3105","0.50048","79.91328","STONEHAM"
"2015","157.35166","46.61313","0.29624","54.00683","STOUGHTON"
"2015","83.32135","10.01983","0.12026","10.12464","STOW"
"2015","173.55713","16.17398","0.09319","17.9031","SUDBURY"
"2015","55.48189","36.23714","0.65313","67.33987","SWAMPSCOTT"
"2015","76.0616","13.59248","0.1787","13.59248","TOPSFIELD"
"2015","114.76407","66.12498","0.57618","114.18345","WAKEFIELD"
"2015","163.82237","75.53601","0.46108","95.71253","WALPOLE"
"2015","218.17226","104.68799","0.47984","188.53929","WALTHAM"
"2015","105.04597","71.39068","0.67961","134.68932","WATERTOWN"
"2015","114.82951","14.95109","0.1302","16.64947","WAYLAND"
"2015","157.42207","67.99555","0.43193","101.72748","WELLESLEY"
"2015","40.9802","9.09367","0.2219","10.31411","WENHAM"
"2015","134.23074","22.10605","0.16469","24.2406","WESTON"
"2015","105.90749","33.59243","0.31719","37.51193","WESTWOOD"
"2015","232.06069","101.56559","0.43767","155.50737","WEYMOUTH"
"2015","158.68743","35.27015","0.22226","58.23002","WILMINGTON"
"2015","106.58","49.87698","0.46798","83.1326","WINCHESTER"
"2015","44.82856","35.5458","0.79293","64.33809","WINTHROP"
"2015","182.80108","79.50311","0.43492","130.3831","WOBURN"
"2015","119.51353","23.95563","0.20044","26.21566","WRENTHAM"
