TOWN_ID,TOWN,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,CITY_AVG,CITY_TOTAL
2,ACTON,0.508337298,1.920962277,16.67909679,13.25787282,6.206384737,2.285345848,3.078569453,40.85799977
10,ARLINGTON,0.70453089,7.067041357,4.689643679,3.741087664,4.797012593,12.10934537,3.281396701,33.10866155
14,ASHLAND,0,3.167114243,3.774168998,1.602606935,1.090928938,0,2.699858604,9.634819114
23,BEDFORD,0,0,7.246977618,5.807092162,1.573266754,0,3.056057964,14.62733653
25,BELLINGHAM,0.65807877,6.544195027,13.20042466,2.405757391,1.065428137,1.840943403,2.684351457,25.71482739
26,BELMONT,1.152293267,3.723224583,3.63576705,2.860853504,0.047882267,6.754684526,3.060822697,18.1747052
30,BEVERLY,0.730075214,8.676476729,19.05218992,2.654975114,0,0,2.518990094,31.11371698
31,BILLERICA,0,0,0,0.019653394,0,0,3.25,0.019653394
34,BOLTON,0,0,0.158851441,0.328595491,0,0,3.087057708,0.487446932
35,BOSTON,110.5843317,177.5885066,121.0412608,43.78664944,12.43607784,9.563912009,1.931847542,475.0007384
37,BOXBOROUGH,0,0.415049917,0.272782541,0,0,0,2.297437121,0.687832458
40,BRAINTREE,10.4089445,9.592378923,16.57867815,12.93198527,4.909122177,1.425943578,2.350608262,55.8470526
44,BROCKTON,0,0.02554191,0,0,0,0,2,0.02554191
46,BROOKLINE,7.197074839,9.495877433,14.54735131,3.349657497,0.215329528,0,2.031037303,34.80529061
48,BURLINGTON,2.343899204,3.79669952,4.714768434,5.139789468,5.028337279,0.23764318,2.687042376,21.26113709
49,CAMBRIDGE,11.90850785,44.87958617,22.03195875,4.029955221,1.415995886,0.857563945,2.025279827,85.12356782
50,CANTON,1.832584582,2.21391739,9.313049329,7.41959105,4.367492315,4.642814616,3.030014043,29.78944928
57,CHELSEA,0.765006027,7.14062879,12.44931861,1.015051493,0.029891725,0.874664889,2.498151121,22.27456153
65,COHASSET,0,0,1.864993187,2.248870685,2.009292818,0.439896412,3.328019516,6.563053102
67,CONCORD,0.093698663,5.228984391,11.24648289,7.099021997,6.975878546,3.900330651,3.103066689,34.54439714
