"bridgeId","healthIndex","year","structDef","town"
"2J2","0.6321","2007","FALSE","Woburn"
"2J3","0.6892","2007","FALSE","Woburn"
"2J8","0.8439","2007","FALSE","Quincy"
"31A","0.994","2007","FALSE","Lynn"
"3MM","0.9917","2007","FALSE","Stoughton"
"1L4","0.9124","2007","FALSE","Marlborough"
"1L5","0.7884","2007","FALSE","Marlborough"
"26Q","0.947","2007","FALSE","Sudbury"
"26R","0.8303","2007","TRUE","Wayland"
"274","0.6067","2007","TRUE","Framingham"
"276","0.3779","2007","TRUE","Framingham"
"277","0.7123","2007","FALSE","Natick"
"278","0.7185","2007","FALSE","Natick"
"27B","0.7651","2007","FALSE","Boxborough"
"27C","0.9656","2007","FALSE","Littleton"
"27D","0.7842","2007","FALSE","Littleton"
"27E","0.7616","2007","FALSE","Marlborough"
"27F","0.9668","2007","FALSE","Hudson"
"27G","0.7547","2007","FALSE","Hudson"
"27H","0.9544","2007","FALSE","Hudson"
"27J","0.9728","2007","FALSE","Hudson"
"27K","0.5768","2007","TRUE","Littleton"
"27L","0.5836","2007","TRUE","Littleton"
"27M","0.8696","2007","FALSE","Littleton"
"27N","0.8711","2007","FALSE","Littleton"
"27P","0.9908","2007","FALSE","Littleton"
"27Q","0.9597","2007","FALSE","Littleton"
"27Y","0.7578","2007","FALSE","Marlborough"
"280","0.8051","2007","FALSE","Marlborough"
"281","0.9095","2007","FALSE","Marlborough"
"282","0.9009","2007","FALSE","Marlborough"
"286","0.9072","2007","FALSE","Acton"
"288","0.7609","2007","TRUE","Maynard"
"28Q","0.8162","2007","TRUE","Natick"
"292","0.712","2007","FALSE","Natick"
"29A","0.9982","2007","FALSE","Acton"
"2AF","0.6884","2007","FALSE","Bellingham"
"2AG","0.6803","2007","FALSE","Bellingham"
"2AJ","0.9145","2007","FALSE","Medfield"
"2AL","0.9987","2007","FALSE","Bellingham"
"2KH","0.759","2007","FALSE","Woburn"
"2KY","1","2007","FALSE","Boston"
"2L2","0.7521","2007","FALSE","Stoneham"
"2LH","0.8551","2007","TRUE","Newton"
"2MA","0.6822","2007","FALSE","Weston"
"2NH","0.7677","2007","FALSE","Waltham"
