GEOID,AREA_LAND_ONLY,AREA_WITH_WATER,STATE,COUNTY,TRACT,TOTAL_POP_2010,MINORITY_POP,MINORITY_PCT,TOTAL_HH_2010,MINORITY_HH,MINORITY_HH_PCT,POP_65_PLUS,PCT_65_PLUS,POP_75_PLUS,PCT_75_PLUS,SINGLE_FEMALE_HOH,SINGLE_FEMALE_HOH_PCT,POP2010_16_PLUS,LABOR_FORCE,PCT_IN_LABOR_FORCE,LOW_INC_HH,LOW_INC_HH_PCT,MEDIAN_HH_INC,ACS2012_TOT_HH,AGGREG_HH_INC,POP2010_5_PLUS,LEP_POP,LEP_POP_PCT,ZERO_VEH_HH,ZERO_VEH_HH_PCT,LAND_AREA,TOWN_ID,TOWN,COUNTY_SUBDIVISION
25025020303,"445,548.00","78,534.00",25,25,"20,303","3,400","1,353",0.3979,"1,632",386,0.2365,351,0.1032,166,0.0488,61,0.0374,"3,203","1,887",0.5891,560,0.3431,"83,701","1,603","217,420,800.00","3,288",211,0.0642,807,0.4947,0.172027045,35,Boston,"7,000"
25025040600,"1,433,479.00","414,153.00",25,25,"40,600","2,444",209,0.0855,"1,238",95,0.0767,243,0.0994,84,0.0344,62,0.0501,"2,227","1,779",0.7988,250,0.2023,"114,167","1,236","158,844,304.00","2,328",65,0.0281,81,0.0655,0.553469336,35,Boston,"7,000"
25025061101,"165,282.00",0,25,25,"61,101","2,232","1,783",0.7988,982,717,0.7301,171,0.0766,69,0.0309,408,0.4155,"1,585",790,0.4987,887,0.9037,"15,027",976,"19,479,000.00","2,023",664,0.3284,537,0.5471,0.063815737,35,Boston,"7,000"
25017368101,"2,911,459.00","181,317.00",25,17,"368,101","6,101","1,649",0.2703,"2,643",554,0.2096,921,0.151,500,0.082,204,0.0772,"5,214","3,731",0.7155,556,0.2104,"90,341","2,548","282,603,488.00","5,718",583,0.1019,129,0.0487,1.124120604,308,Waltham,"72,600"
25017358400,"7,029,847.00","379,109.00",25,17,"358,400","4,895","1,169",0.2388,"1,836",332,0.1808,966,0.1973,476,0.0972,116,0.0632,"3,824","2,392",0.6256,338,0.1839,"134,979","1,843","384,140,608.00","4,698",266,0.0567,157,0.0857,2.714239101,155,Lexington,"35,215"
25017382400,"4,660,207.00","225,690.00",25,17,"382,400","4,523",360,0.0796,"1,818",114,0.0627,658,0.1455,318,0.0703,193,0.1062,"3,501","2,475",0.7068,641,0.3524,"80,057","1,805","213,547,504.00","4,219",124,0.0293,150,0.0825,1.799315982,198,Natick,"43,895"
25017382300,"13,022,944.00","244,777.00",25,17,"382,300","5,568",586,0.1052,"2,108",162,0.0769,787,0.1413,340,0.0611,132,0.0626,"4,269","3,184",0.7459,318,0.1507,"115,881","2,177","357,737,792.00","5,213",70,0.0134,122,0.0579,5.028186789,198,Natick,"43,895"
25017366202,"19,025,426.00","800,656.00",25,17,"366,202","4,699",640,0.1362,"1,805",179,0.0992,941,0.2003,456,0.097,87,0.0482,"3,618","2,302",0.6364,257,0.1422,"128,269","1,920","356,179,008.00","4,475",81,0.018,93,0.0516,7.345758046,315,Wayland,"73,790"
25017382100,"5,823,677.00","171,137.00",25,17,"382,100","4,911",712,0.145,"1,801",188,0.1044,840,0.171,467,0.0951,146,0.0811,"3,763","2,630",0.6988,290,0.1611,"101,719","1,800","237,727,808.00","4,571",127,0.0277,110,0.0611,2.24853426,198,Natick,"43,895"
25025091100,"423,898.00",0,25,25,"91,100","4,861","2,601",0.5351,"1,792",744,0.4152,404,0.0831,150,0.0309,291,0.1624,"4,049","2,988",0.738,669,0.3734,"54,413","1,591","123,905,200.00","4,572","1,531",0.3349,573,0.3199,0.163667933,35,Boston,"7,000"
