"year","average","firstQuartile","thirdQuartile","median","minimum","maximum","town"
"2007","3.4905166172965996","2.40526759","3.79999995","3.79999995","2.40526759","3.79999995","ROCKLAND"
"2007","2.9888827596583263","2.76856514","3.20000004","3.20000004","0.51111111","3.83774539","SALEM"
"2007","3.111073394489963","3.0999999","3.5","3.5","0","3.7125","SAUGUS"
"2007","3.636878482473259","3.5","3.70000004","3.5999999","3.5","3.79999995","SCITUATE"
"2007","3.4642052484003583","2.98081855","4.12248572","3.31904337","0.6539339","4.5","SHARON"
"2007","2.590645419802974","2.40000009","3","2.5","0.85678902","3.5999999","SOMERVILLE"
"2007","3.1960003767560043","3.03510325","3.40000009","3.2951281","1.38569165","3.63675118","SOUTHBOROUGH"
"2007","2.6043381083732084","2.2","2.70203799","2.64995","1.87862774","3.3615","STONEHAM"
"2007","3.4297771996228956","2.85","3.96611485","3.62430191","0.29501855","4.5","STOUGHTON"
"2007","3.2227742125390897","2.84481874","3.51421507","3.1875","2.3329331","4.5","SUDBURY"
"2007","3.142990272579194","2.79999995","3.47409524","3.09491242","1.92681207","3.7125","WALPOLE"
"2007","2.9423064053647345","2.67563047","3.276125","3.00572015","0.77165217","3.97098714","WALTHAM"
"2007","2.7869171835115316","2.5","2.72","2.5999999","1.4851217","4.5","WATERTOWN"
"2007","3.1171821227526624","2.72","3.69311267","2.8","2.2","4.5","WAYLAND"
"2007","3.1895343155823443","3.02352708","3.5","3.25715","1.65364285","3.5999999","WELLESLEY"
"2007","2.79999995","2.79999995","2.79999995","2.79999995","2.79999995","2.79999995","WENHAM"
"2007","3.2499752305082428","3.00356605","3.57896611","3.2349955","1.30178012","4.2","WESTON"
"2007","3.454538072554614","3.34665565","3.6087648","3.5","2.5999999","3.88172815","WESTWOOD"
"2007","2.795347612442685","2.40000009","3.0396014","2.64943269","0","3.5999999","WEYMOUTH"
"2007","3.273326950315323","2.6460143","3.43056935","2.99260063","1.30726253","4.5","WILMINGTON"
"2007","3.4694843071697212","3.40000009","3.5","3.5","3.40000009","3.5999999","WINCHESTER"
"2007","2.6532153859230543","3.20000004","3.40000009","3.20000004","0","3.5","WOBURN"
"2007","3.4000000899999994","3.40000009","3.40000009","3.40000009","3.40000009","3.40000009","WRENTHAM"
"2008","3.160838712830607","2.97203902","3.33958393","3.04655331","2.2","3.7125","ACTON"
"2008","2.371558701282007","2.19077163","2.6","2.42321085","0.68350122","2.922","ARLINGTON"
"2008","2.999706090761121","2.76972318","2.86840881","2.8","2.35324675","4.12155012","BEDFORD"
"2008","2.7385514302431706","2.612","2.90208772","2.75201904","2.16001435","3.13282317","BELLINGHAM"
"2008","2.415195094471007","2.16061441","2.44978138","2.16061441","1.98696417","2.56603019","BELMONT"
"2008","2.668385459154546","2.47031942","2.66699714","2.65461718","1.64831012","3.85268545","BEVERLY"
"2008","2.382877678985373","1.97519954","2.85869689","2.42","0","4.5","BOSTON"
"2008","2.8686308668915497","2.2","2.27435391","2.2","2.2","3.7125","BOXBOROUGH"
"2008","3.0130855988176477","2.92295056","3.19916692","3.12253426","1.1046589","3.48168497","BRAINTREE"
"2008","2.59525811034951","2.29999995","2.90000009","2.66172661","1.14683666","4.5","BROOKLINE"
"2008","3.147662605689561","2.777603","3.7125","2.91647135","0.77356694","3.82823813","BURLINGTON"
"2008","2.475215866466524","2.18709817","2.8311279","2.48123415","0","3.7125","CAMBRIDGE"
"2008","3.225344054283645","2.80376737","3.68279549","3.01466504","1.49833638","4","CANTON"
"2008","2.209939688243293","1.42210875","2.84541745","2.5999999","0.11917098","3.17832974","CHELSEA"
"2008","3.196659928188071","2.96770935","3.45332784","3.22458124","2.2","3.67498671","COHASSET"
"2008","2.848542681544299","2.5","3.25371818","2.72","1.91582612","3.78503297","CONCORD"
"2008","2.881813467581822","2.5999999","3.20000004","2.86831512","0.41429175","3.99183912","DANVERS"
"2008","2.571347190078246","2.28290522","2.81547037","2.612","0.77002825","4.5","DEDHAM"
"2008","3.150848459805424","2.96372375","3.296","3.18127782","2.96372375","3.36445608","DOVER"
"2008","3.5282105471980234","3.17775183","3.7125","3.56468729","3.17775183","4.14969607","DUXBURY"
"2008","2.084489346148628","1.86506832","1.86506832","1.86506832","1.86506832","2.27355386","ESSEX"
"2008","2.7840005011427937","2.44306515","3","2.72801801","1.10000002","3.76604692","EVERETT"
"2008","3.454065256681139","2.72","4.35107398","3.44128761","0.01617647","4.5","FOXBOROUGH"
"2008","2.6994988261404482","2.46226415","2.74697532","2.70000004","1.02004515","3.61589761","FRAMINGHAM"
"2008","2.994875233798164","2.79999995","3","2.79999995","2.79999995","3.58322631","FRANKLIN"
"2008","2.4431494730111276","2.21211869","2.75508373","2.48175","1.44972225","3.0680844","GLOUCESTER"
"2008","3.0293498740766545","2.5999999","3.50906356","2.925","1.80549115","3.7168665","HANOVER"
"2008","2.9171065774041836","2.46996985","3.46543193","2.73488372","1.70503329","3.89167225","HINGHAM"
"2008","2.634762931349636","2.3491819","2.70867193","2.6","1.46591349","3.7125","LEXINGTON"
"2008","2.9271428605493974","2.47727771","3.61406249","2.612","0.39905771","3.7125","LINCOLN"
"2008","2.5401923868386755","2.2","2.72156832","2.45708023","1.4780968","3.36164981","LITTLETON"
"2008","2.8548145278216843","2.7","3.24347686","2.80452823","0.69011294","3.69525545","LYNN"
"2008","2.801278731844579","2.2","3.35622987","2.9663082","0.30520231","3.49716782","LYNNFIELD"
"2008","2.509297750180417","2.22239242","2.72","2.51938813","1.26873092","3.73296415","MALDEN"
"2008","2.582272517490974","2.15009865","2.68656508","2.45922443","2.00305263","3.56435993","MANCHESTER"
"2008","2.7319665605804984","2.40859411","3.02910967","2.70494353","0.27627348","3.7125","MARLBOROUGH"
"2008","3.309556136314979","3.17660897","3.62862185","3.45","0.69452118","3.71258467","MARSHFIELD"
"2008","3.0373437495409052","2.72","3.34800265","3.08379401","0.93639344","3.66","MAYNARD"
"2008","3.3810967144637103","3.11099593","3.62216245","3.55757182","2.72","3.73703477","MEDFIELD"
"2008","2.5700735462925337","2.30304872","3.20000004","2.63228902","0.20581623","3.7125","MEDFORD"
"2008","2.998461749623236","2.46930312","3.34540291","2.7719243","1.01844627","4.5","MEDWAY"
"2008","2.921452564770748","2.612","2.80362407","2.612","2.612","3.17565333","MELROSE"
"2008","2.87754696096746","2.612","3.0298159","2.79999995","2.18399484","3.65917418","MIDDLETON"
"2008","3.238354692782866","2.44747066","3.5011407","3.5","1.7495","3.56512694","MILFORD"
"2008","3.2776835091648002","2.89506038","3.51217871","3.37605137","2.72","3.67493867","MILLIS"
"2008","3.073880995736009","2.68991309","3.50666117","3","0.87374584","4.5","MILTON"
"2008","2.9657442244356558","2.72","3.10619216","3","1.87321565","4.5","NATICK"
"2008","2.5917660576818067","2.5","2.79180686","2.64530982","1.51415771","3.10900968","NEWTON"
"2008","3.6597654","3.6597654","3.6597654","3.6597654","3.6597654","3.6597654","NORTH READING"
"2008","3.664955039401136","3.68616741","3.71085721","3.70222602","1.84206957","3.71112583","NORWELL"
