town,year,bike_inj,bike_fat,bike_tot,ped_inj,ped_fat,ped_tot
Hudson,2005,0,0,3,1,0,3
Hull,2005,0,0,2,1,0,1
Ipswich,2005,1,0,3,0,0,0
Lexington,2005,7,0,8,12,0,14
Lincoln,2005,1,0,2,0,0,1
Littleton,2005,1,0,1,2,0,2
Lynn,2005,17,0,30,55,2,87
Lynnfield,2005,0,0,0,0,0,0
Malden,2005,5,0,7,12,1,22
Manchester,2005,0,0,0,1,0,1
Marblehead,2005,0,0,1,0,0,2
Marlborough,2005,3,0,5,2,1,11
Marshfield,2005,1,0,1,0,1,1
Maynard,2005,0,0,3,0,0,0
Medfield,2005,1,0,2,0,0,0
Medford,2005,7,0,11,15,1,24
Medway,2005,0,0,2,0,0,1
Melrose,2005,2,0,4,5,0,5
Middleton,2005,0,0,3,0,0,1
Milford,2005,0,0,1,0,0,3
Millis,2005,0,0,0,0,0,1
Milton,2005,0,0,0,5,0,10
Nahant,2005,0,0,0,0,0,0
Natick,2005,2,0,3,3,0,3
Needham,2005,2,0,6,3,0,5
Newton,2005,16,0,22,24,0,38
Norfolk,2005,0,0,0,0,0,0
North Reading,2005,1,0,2,2,0,2
Norwell,2005,0,0,2,0,0,1
Norwood,2005,5,0,7,6,0,7
Peabody,2005,3,0,5,12,1,17
Pembroke,2005,1,0,2,2,0,2
Quincy,2005,11,0,17,36,1,59
Randolph,2005,1,0,1,4,0,9
Reading,2005,3,0,4,1,0,3
Revere,2005,2,0,7,7,1,12
Rockland,2005,2,0,2,2,0,2
Rockport,2005,0,0,0,1,0,1
Salem,2005,14,0,25,10,0,23
Saugus,2005,4,0,4,5,2,9
Scituate,2005,0,0,1,2,0,2
Sharon,2005,2,0,5,1,0,1
Sherborn,2005,1,0,1,0,0,0
Somerville,2005,30,1,38,31,1,49
Southborough,2005,0,0,0,1,0,1
Stoneham,2005,4,0,4,4,0,7
Stoughton,2005,6,0,10,2,0,4
Stow,2005,0,0,0,0,0,0
Sudbury,2005,1,0,2,4,0,4
Swampscott,2005,2,0,3,1,0,4
Topsfield,2005,0,0,1,2,0,3
Wakefield,2005,2,0,2,4,1,7
Walpole,2005,0,0,0,1,0,3
Waltham,2005,11,0,16,16,0,30
Watertown,2005,4,0,6,8,0,12
Wayland,2005,1,0,4,0,0,0
Wellesley,2005,2,0,4,7,0,8
Wenham,2005,0,0,0,0,1,1
Weston,2005,1,1,2,0,0,1
Westwood,2005,2,0,2,2,0,3
Weymouth,2005,5,0,7,15,2,28
Wilmington,2005,0,0,0,5,0,7
Winchester,2005,3,0,4,2,0,6
Winthrop,2005,3,0,3,1,0,3
Woburn,2005,7,0,11,6,0,15
Wrentham,2005,0,0,3,1,0,3
Total,2005,362,2,604,571,32,992
Acton,2006,0,0,8,2,0,2
Arlington,2006,7,0,10,6,0,11
Ashland,2006,0,0,3,1,0,3
Bedford,2006,3,0,12,1,0,3
Bellingham,2006,1,0,4,0,0,0
Belmont,2006,9,0,11,3,0,8
