year,average,firstQuartile,thirdQuartile,median,minimum,maximum,town
2008,3.160838713,2.97203902,3.33958393,3.04655331,2.2,3.7125,ACTON
2008,2.371558701,2.19077163,2.6,2.42321085,0.68350122,2.922,ARLINGTON
2008,2.999706091,2.76972318,2.86840881,2.8,2.35324675,4.12155012,BEDFORD
2008,2.73855143,2.612,2.90208772,2.75201904,2.16001435,3.13282317,BELLINGHAM
2008,2.415195094,2.16061441,2.44978138,2.16061441,1.98696417,2.56603019,BELMONT
2008,2.668385459,2.47031942,2.66699714,2.65461718,1.64831012,3.85268545,BEVERLY
2008,2.382877679,1.97519954,2.85869689,2.42,0,4.5,BOSTON
2008,2.868630867,2.2,2.27435391,2.2,2.2,3.7125,BOXBOROUGH
2008,3.013085599,2.92295056,3.19916692,3.12253426,1.1046589,3.48168497,BRAINTREE
2008,2.59525811,2.29999995,2.90000009,2.66172661,1.14683666,4.5,BROOKLINE
2008,3.147662606,2.777603,3.7125,2.91647135,0.77356694,3.82823813,BURLINGTON
2008,2.475215866,2.18709817,2.8311279,2.48123415,0,3.7125,CAMBRIDGE
2008,3.225344054,2.80376737,3.68279549,3.01466504,1.49833638,4,CANTON
2008,2.209939688,1.42210875,2.84541745,2.5999999,0.11917098,3.17832974,CHELSEA
2008,3.196659928,2.96770935,3.45332784,3.22458124,2.2,3.67498671,COHASSET
2008,2.848542682,2.5,3.25371818,2.72,1.91582612,3.78503297,CONCORD
2008,2.881813468,2.5999999,3.20000004,2.86831512,0.41429175,3.99183912,DANVERS
2008,2.57134719,2.28290522,2.81547037,2.612,0.77002825,4.5,DEDHAM
2008,3.15084846,2.96372375,3.296,3.18127782,2.96372375,3.36445608,DOVER
2008,3.528210547,3.17775183,3.7125,3.56468729,3.17775183,4.14969607,DUXBURY
2008,2.084489346,1.86506832,1.86506832,1.86506832,1.86506832,2.27355386,ESSEX
2008,2.784000501,2.44306515,3,2.72801801,1.10000002,3.76604692,EVERETT
2008,3.454065257,2.72,4.35107398,3.44128761,0.01617647,4.5,FOXBOROUGH
2008,2.699498826,2.46226415,2.74697532,2.70000004,1.02004515,3.61589761,FRAMINGHAM
