town,year,tot_inj,tot_fat,mot_inj,mot_fat,trk_inj,trk_fat,mot_tot,truck_tot,
Hingham,2014,82,2,82,2,1,0,387,,
Holbrook,2014,88,2,88,2,1,0,218,,
Holliston,2014,76,0,76,0,1,0,237,,
Hopkinton,2014,80,1,80,1,7,0,379,,
Hudson,2014,109,1,109,1,5,0,424,,
Hull,2014,26,1,26,1,0,0,117,,
Ipswich,2014,35,0,35,0,0,0,114,,
Lexington,2014,248,2,248,2,15,1,703,,
Lincoln,2014,38,0,38,0,1,0,115,,
Littleton,2014,81,0,81,0,5,0,365,,
Lynn,2014,796,3,796,3,25,0,2712,,
Lynnfield,2014,94,0,94,0,5,0,260,,
Malden,2014,180,1,180,1,6,1,529,,
Manchester,2014,12,0,12,0,2,0,45,,
Marblehead,2014,34,1,34,1,2,0,181,,
Marlborough,2014,277,2,277,2,14,1,1196,,
Marshfield,2014,108,1,108,1,5,0,372,,
Maynard,2014,30,0,30,0,1,0,142,,
Medfield,2014,42,0,42,0,1,0,140,,
Medford,2014,285,2,285,2,14,0,955,,
Medway,2014,55,0,55,0,4,0,162,,
Melrose,2014,61,1,61,1,1,0,280,,
Middleton,2014,47,2,47,2,1,0,196,,
Milford,2014,306,4,306,4,14,1,1164,,
Millis,2014,24,0,24,0,5,0,67,,
Milton,2014,256,2,256,2,12,1,524,,
Nahant,2014,15,0,15,0,0,0,41,,
Natick,2014,157,0,157,0,2,0,860,,
Needham,2014,147,1,147,1,14,0,468,,
Newton,2014,544,0,544,0,14,0,1703,,
Norfolk,2014,28,0,28,0,1,0,103,,
North Reading,2014,47,0,47,0,1,0,158,,
Norwell,2014,101,2,101,2,2,0,274,,
Norwood,2014,132,6,132,6,2,0,435,,
Peabody,2014,387,3,387,3,13,1,1318,,
Pembroke,2014,312,3,312,3,3,0,348,,
Quincy,2014,125,1,125,1,20,1,2230,,
Randolph,2014,640,4,640,4,8,1,657,,
Reading,2014,327,3,327,3,7,0,551,,
Revere,2014,111,0,111,0,21,0,715,,
Rockland,2014,371,1,371,1,5,1,191,,
Rockport,2014,87,1,87,1,0,0,32,,
Salem,2014,11,0,11,0,11,0,812,,
Saugus,2014,289,1,289,1,4,0,542,,
Scituate,2014,256,2,256,2,4,0,200,,
Sharon,2014,38,1,38,1,3,0,363,,
Sherborn,2014,110,1,110,1,0,0,160,,
Somerville,2014,44,0,44,0,10,1,781,,
Southborough,2014,306,1,306,1,7,0,243,,
Stoneham,2014,52,1,52,1,12,0,321,,
Stoughton,2014,138,4,138,4,12,0,716,,
Stow,2014,86,0,86,0,0,0,119,,
Sudbury,2014,247,0,247,0,6,0,271,,
Swampscott,2014,23,0,23,0,1,0,159,,
Topsfield,2014,88,0,88,0,0,0,77,,
Wakefield,2014,63,0,63,0,6,0,474,,
Walpole,2014,33,0,33,0,14,1,426,,
Waltham,2014,155,0,155,0,16,0,1363,,
Watertown,2014,141,2,141,2,7,0,352,,
Wayland,2014,365,2,365,2,0,1,231,,
Wellesley,2014,147,0,147,0,4,0,842,,
Wenham,2014,54,1,54,1,0,0,70,,
Weston,2014,135,0,135,0,10,0,626,,
Westwood,2014,19,0,19,0,8,0,508,,
Weymouth,2014,151,0,151,0,10,0,1274,,
Wilmington,2014,113,1,113,1,11,0,570,,
Winchester,2014,403,2,403,2,2,0,278,,
Winthrop,2014,199,3,199,3,2,0,150,,
Woburn,2014,65,2,65,2,15,1,1051,,
Wrentham,2014,44,0,44,0,10,1,358,,
Total,2014,16869,124,16869,124,702,20,52903,,
